wikiID,nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,mannersOfDeath,placeOfBurialLabel,fatherLabel,motherLabel,spouses,startTime,endTime,startYear,endYear,birthYear,deathYear,urlImage
Q132548,François II,1544-01-29T00:00:00Z,Fontainebleau,1560-12-15T00:00:00Z,Paris,méningite,basilique Saint-Denis,Henri II,Catherine de Médicis,Marie Stuart,1559-07-30T00:00:00Z,1560-12-25T00:00:00Z,1559,1560,1544,1560,https://upload.wikimedia.org/wikipedia/commons/c/c9/FrancoisII.jpg
Q737533,Louis XIII,1601-09-27T00:00:00Z,Fontainebleau,1643-05-14T00:00:00Z,Saint-Germain-en-Laye,tuberculose,basilique Saint-Denis,Henri IV,Marie de Médicis,Anne d'Autriche,1610-05-14T00:00:00Z,1643-05-14T00:00:00Z,1610,1643,1601,1643,https://upload.wikimedia.org/wikipedia/commons/4/4e/Louis_XIIIval_grace.jpg
Q936976,Henri IV,1553-12-23T00:00:00Z,château de Pau,1610-05-14T00:00:00Z,Paris,blessure par arme blanche,basilique Saint-Denis,Antoine de Bourbon,Jeanne d'Albret,"Marguerite de France, Marie de Médicis",1572-06-19T00:00:00Z,1610-05-14T00:00:00Z,1572,1610,1553,1610,https://upload.wikimedia.org/wikipedia/commons/8/87/Augustins_-_Henri_IV%2C_roi_de_France_et_de_Navarre_-_Jacques_Boulb%C3%A8ne.jpg
Q129857,François Ier,1494-09-21T00:00:00Z,Cognac,1547-04-10T00:00:00Z,Rambouillet,maladie,basilique Saint-Denis,Charles d'Orléans,Louise de Savoie,"Éléonore de Habsbourg, Claude de France",1515-01-11T00:00:00Z,1547-04-10T00:00:00Z,1515,1547,1494,1547,https://upload.wikimedia.org/wikipedia/commons/8/87/Fran%C3%A7ois_Ier_Louvre.jpg
Q169992,Jean II de France,1319-04-24T00:00:00Z,Le Mans,1364-04-16T00:00:00Z,Londres,,basilique Saint-Denis,Philippe VI de France,Jeanne de Bourgogne,"Jeanne Ire d'Auvergne, Bonne de Luxembourg",1350-08-30T00:00:00Z,1364-04-16T00:00:00Z,1350,1364,1319,1364,https://upload.wikimedia.org/wikipedia/commons/3/3c/14th-century_unknown_painters_-_Portrait_of_Jean_le_Bon%2C_King_of_France_-_WGA23666.jpg
Q58907,Philippe Ier de France,1052-05-29T00:00:00Z,Champagne-et-Fontaine,1108-08-05T00:00:00Z,Melun,,abbaye de Saint-Benoît-sur-Loire,Henri Ier de France,Anne de Kiev,"Bertrade de Montfort, Berthe de Hollande",1060-08-10T00:00:00Z,1108-08-05T00:00:00Z,1060,1108,1052,1108,https://upload.wikimedia.org/wikipedia/commons/d/d5/Philippe_Ier.jpg
Q172203,Philippe III de France,1245-04-10T00:00:00Z,Poissy,1285-10-12T00:00:00Z,Perpignan,dysentérie,basilique Saint-Denis,Saint Louis,Marguerite de Provence,"Isabelle d'Aragon, Marie de Brabant",1270-09-01T00:00:00Z,1285-10-12T00:00:00Z,1270,1285,1245,1285,https://upload.wikimedia.org/wikipedia/commons/2/25/Jollivet_-_Philip_III_of_France.jpg
Q34428,Philippe II Auguste,1165-08-28T00:00:00Z,Paris,1223-07-21T00:00:00Z,Mantes-la-Jolie,,basilique Saint-Denis,Louis VII de France,Adèle de Champagne,"Agnès de Méranie, Isabelle de Hainaut, Ingeburge de Danemark",1180-09-25T00:00:00Z,1223-07-21T00:00:00Z,1180,1223,1165,1223,https://upload.wikimedia.org/wikipedia/commons/d/dc/Sceau_de_Philippe_Auguste._-_Archives_Nationales_-_SC-D157.jpg
Q346,Saint Louis,1214-05-02T00:00:00Z,Poissy,1270-09-01T00:00:00Z,Tunis,"dysentérie, scorbut",basilique Saint-Denis,Louis VIII de France,Blanche de Castille,Marguerite de Provence,1226-11-15T00:00:00Z,1270-09-01T00:00:00Z,1226,1270,1214,1270,https://upload.wikimedia.org/wikipedia/commons/f/f7/Premier_sceau_de_majest%C3%A9_de_Louis_IX_d%C3%A9tour%C3%A9.png
Q53448,Henri III,1551-09-29T00:00:00Z,château de Fontainebleau,1589-08-02T00:00:00Z,Saint-Cloud,blessure par arme blanche,basilique Saint-Denis,Henri II,Catherine de Médicis,Louise de Lorraine,1573-05-11T00:00:00Z,1574-06-18T00:00:00Z,1573,1574,1551,1589,https://upload.wikimedia.org/wikipedia/commons/f/f1/Henri_III_Versailles.jpg
Q58514,Louis XII,1462-07-06T00:00:00Z,Blois,1515-01-11T00:00:00Z,Paris,,basilique Saint-Denis,Charles d'Orléans,Marie de Clèves,"Marie d'Angleterre, Jeanne de France, Anne de Bretagne",1498-04-25T00:00:00Z,1515-01-11T00:00:00Z,1498,1515,1462,1515,https://upload.wikimedia.org/wikipedia/commons/1/13/Louis-xii-roi-de-france.jpg
Q8058,Louis XI,1423-07-12T00:00:00Z,Bourges,1483-09-08T00:00:00Z,château de Plessis-lès-Tours,accident vasculaire cérébral,basilique Notre-Dame de Cléry,Charles VII de France,Marie d'Anjou,"Marguerite d'Écosse, Charlotte de Savoie",1461-08-09T00:00:00Z,1483-09-17T00:00:00Z,1461,1483,1423,1483,https://upload.wikimedia.org/wikipedia/commons/6/60/Louis-XI.jpg
Q7732,Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"décapitation, guillotine",basilique Saint-Denis,Louis de France,Marie-Josèphe de Saxe,Marie-Antoinette,1791-09-04T00:00:00Z,1792-08-10T00:00:00Z,1791,1792,1754,1793,https://upload.wikimedia.org/wikipedia/commons/d/da/Louis_xvi.jpg
Q7742,Louis XIV,1638-09-05T00:00:00Z,château de Saint-Germain-en-Laye,1715-09-01T00:00:00Z,château de Versailles,gangrène,basilique Saint-Denis,Louis XIII,Anne d'Autriche,"Madame de Maintenon, Marie-Thérèse d'Autriche",1643-05-14T00:00:00Z,1715-09-01T00:00:00Z,1643,1715,1638,1715,https://upload.wikimedia.org/wikipedia/commons/d/d8/Louis_XIV.jpg
Q7758,Charles X,1757-10-09T00:00:00Z,Versailles,1836-11-06T00:00:00Z,Gorizia,choléra,église de l'Annonciation de Kostanjevica,Louis de France,Marie-Josèphe de Saxe,Marie-Thérèse de Savoie,1824-09-16T00:00:00Z,1830-08-02T00:00:00Z,1824,1830,1757,1836,https://upload.wikimedia.org/wikipedia/commons/b/b1/Charles_X_of_France_1.PNG
Q8433,Philippe V de France,1293-01-01T00:00:00Z,Vincennes,1322-01-11T00:00:00Z,abbaye royale de Longchamp,infection,basilique Saint-Denis,Philippe IV de France,Jeanne Ire de Navarre,Jeanne de Bourgogne,1316-11-27T00:00:00Z,1322-01-11T00:00:00Z,1316,1322,1293,1322,https://upload.wikimedia.org/wikipedia/commons/c/c0/Philippe_V_Le_Long.JPG
Q7738,Louis XV,1710-02-15T00:00:00Z,Versailles,1774-05-10T00:00:00Z,Versailles,variole,basilique Saint-Denis,Louis de France,Marie-Adélaïde de Savoie,Marie Leszczyńska,1715-09-01T00:00:00Z,1774-05-10T00:00:00Z,1715,1774,1710,1774,https://upload.wikimedia.org/wikipedia/commons/7/7a/Louis_XV%3B_Buste.jpg
Q7750,Louis XVIII,1755-11-17T00:00:00Z,Versailles,1824-09-16T00:00:00Z,Paris,maladie,basilique Saint-Denis,Louis de France,Marie-Josèphe de Saxe,Marie-Joséphine de Savoie,1815-07-08T00:00:00Z,1824-09-16T00:00:00Z,1815,1824,1755,1824,https://upload.wikimedia.org/wikipedia/commons/a/a9/Louis_XVIII_of_France.png
