nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Charles II le Chauve,0823-06-13T00:00:00Z,Francfort-sur-le-Main,0877-10-06T00:00:00Z,Avrieux,roi de Francie occidentale
Lothar Franz von Schönborn,1655-10-04T00:00:00Z,Hanau,1729-01-30T00:00:00Z,Mayence,"prince-électeur, évêque catholique, évêque diocésain, archevêque de Mayence, archevêque catholique"
Begge d'Andenne,0615-01-01T00:00:00Z,Landen,0693-12-17T00:00:00Z,Andenne,abbesse
Louis II le Bègue,0846-11-05T00:00:00Z,t1792558356,0879-04-14T00:00:00Z,Compiègne,roi de Francie occidentale
Pieter Casteels III,1684-10-03T00:00:00Z,Anvers,1749-05-16T00:00:00Z,Richmond,
Louis III de Bavière,1845-01-07T00:00:00Z,Munich,1921-10-18T00:00:00Z,Q1315082,"roi, régent"
Urbain II,1042-01-01T00:00:00Z,Châtillon-sur-Marne,1099-08-04T00:00:00Z,Rome,"pape, cardinal-évêque"
Gozlin,0834-01-01T00:00:00Z,,0886-04-20T00:00:00Z,Paris,"abbé, évêque catholique, évêque de Paris"
Merry-Joseph Blondel,1781-07-25T00:00:00Z,Paris,1853-06-12T00:00:00Z,Paris,
Sarah Bernhardt,1844-10-22T00:00:00Z,Paris,1923-03-26T00:00:00Z,Paris,sociétaire de la Comédie-Française
George H. W. Bush,1924-06-12T00:00:00Z,Milton,2018-11-30T00:00:00Z,Houston,"président des États-Unis, vice-président des États-Unis, directeur central du renseignement, ambassadeur des États-Unis aux Nations unies, ambassadeur des États-Unis en Chine, représentant des États-Unis"
Anschéric,0850-01-01T00:00:00Z,,0890-01-01T00:00:00Z,,évêque catholique
Charles III le Gros,0839-01-01T00:00:00Z,Francie orientale,0888-01-13T00:00:00Z,Neudingen,roi de Francie occidentale
Charles III d'Espagne,1716-01-20T00:00:00Z,Madrid,1788-12-14T00:00:00Z,Madrid,"gouverneur général des Philippines, Souverain de Naples et de Sicile, Q58637583"
Hugues le Grand,0898-01-01T00:00:00Z,Paris,0956-06-19T00:00:00Z,Dourdan,
Louis IV d'Outremer,0920-09-01T00:00:00Z,Laon,0954-09-15T00:00:00Z,Reims,roi de Francie occidentale
Gautier de Coinci,1177-01-01T00:00:00Z,Coincy,1236-10-02T00:00:00Z,Soissons,abbé
Louis IV du Saint-Empire,1282-04-08T00:00:00Z,Munich,1347-10-19T00:00:00Z,Puch,"empereur romain germanique, duc de Bavière"
Othon,0032-04-26T00:00:00Z,Rome,0069-04-14T00:00:00Z,Q3645134,"empereur romain, gouverneur romain, sénateur romain"
Hugues Capet,0940-01-01T00:00:00Z,Dourdan,0996-10-29T00:00:00Z,Les Juifs,roi des Francs
Saint Magloire,0535-01-01T00:00:00Z,Glamorgan,0575-01-01T00:00:00Z,Sercq,évêque
Paul Magloire,1907-07-19T00:00:00Z,Quartier-Morin,2001-07-12T00:00:00Z,Port-au-Prince,Président de la République d'Haïti
Alleaume d'Autun,t865110933,t865110905,t865110917,t865110913,
Othon III de Bavière,1261-02-18T00:00:00Z,Burghausen,1312-11-17T00:00:00Z,Landshut,"roi de Hongrie, duc de Bavière"
Alexandre IV,1200-01-01T00:00:00Z,Jenne,1261-06-01T00:00:00Z,Viterbe,"pape, camerlingue de la Sainte Église romaine, doyen du Collège des cardinaux, évêque catholique, cardinal-évêque, camerlingue du Sacré Collège, cardinal-diacre"
Renaud de Châtillon,1123-01-01T00:00:00Z,Champagne,1187-07-11T00:00:00Z,Hattin,bailli du royaume de Jérusalem
Galon,1060-01-01T00:00:00Z,royaume de France,1116-03-01T00:00:00Z,,"évêque catholique, évêque de Beauvais, Noyon et Senlis"
Lisiard,,,1201-09-24T00:00:00Z,,évêque
Renaud de Vendôme,0950-01-01T00:00:00Z,,1016-01-01T00:00:00Z,,"Chancelier de France, évêque de Paris"
Denis Ier de Portugal,1261-10-09T00:00:00Z,Lisbonne,1325-01-07T00:00:00Z,Santarém,Roi de Portugal
Robert Brown,1773-12-21T00:00:00Z,Montrose,1858-06-10T00:00:00Z,Londres,président
Robert II de France,0972-04-01T00:00:00Z,Orléans,1031-07-26T00:00:00Z,Melun,roi des Francs
Geneviève de Gaulle-Anthonioz,1920-10-25T00:00:00Z,Saint-Jean-de-Valériscle,2002-02-15T00:00:00Z,Paris,"président, membre du Conseil économique, social et environnemental"
Francon,0900-01-01T00:00:00Z,,0903-01-18T00:00:00Z,Liège,abbé
Adalbéron de Laon,0947-01-01T00:00:00Z,,1030-01-27T00:00:00Z,Laon,évêque catholique
Ingonde,0567-01-01T00:00:00Z,Metz,0585-01-01T00:00:00Z,Carthage,roi des Wisigoths
Guillaume de Volpiano,0962-01-01T00:00:00Z,île Saint-Jules,1031-01-13T00:00:00Z,Fécamp,abbé
