nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Philippe V de France,1293-01-01T00:00:00Z,Vincennes,1322-01-11T00:00:00Z,abbaye royale de Longchamp,"roi de France, Monarque de Navarre"
Mahaut d'Artois,1269-01-01T00:00:00Z,France,1329-12-05T00:00:00Z,Paris,
Q68868001,,,1500-02-20T00:00:00Z,,"évêque catholique, évêque diocésain"
Agnès de Méranie,1175-01-01T00:00:00Z,Andechs,1201-07-27T00:00:00Z,château de Poissy,reine de France
Philippe V de France,1293-01-01T00:00:00Z,Vincennes,1322-01-11T00:00:00Z,abbaye royale de Longchamp,"roi de France, Monarque de Navarre"
Jeanne de Bourgogne,1288-01-01T00:00:00Z,Bracon,1330-01-29T00:00:00Z,Paris,"comté de Bourgogne, comté d'Artois, reine de France, reine consort de Navarre"
Gaucelin de La Garde de Chambonas,,,1304-01-01T00:00:00Z,,évêque
Robert de Béthune,,,1148-04-23T00:00:00Z,Reims,"évêque de Hereford, évêque catholique, évêque diocésain"
Ivan Loutsévitch,1882-07-07T00:00:00Z,Wiazynka,1942-06-28T00:00:00Z,Moscou,Q65494735
Louis le Pieux,0778-04-20T00:00:00Z,Chasseneuil-du-Poitou,0840-06-24T00:00:00Z,Ingelheim am Rhein,"roi des Francs, duc de Bavière"
Jourdain de l'Isle,,,,,
Thomas More,1478-02-16T00:00:00Z,Londres,1535-07-16T00:00:00Z,Tower Hill,"chancelier du duché de Lancastre, lord chancelier, Q60576928, Q60585632, Q60585652"
Louis de Bussy d'Amboise,1549-01-01T00:00:00Z,,1579-09-08T00:00:00Z,château de La Coutancière,
Adrien Bruneau,1805-02-25T00:00:00Z,Enghien,1895-05-11T00:00:00Z,Uccle,député
Charles IV de France,1294-06-25T00:00:00Z,Creil,1328-02-09T00:00:00Z,Vincennes,"roi de France, roi de Navarre"
Philippe VI de France,1293-11-24T00:00:00Z,Fontainebleau,1350-08-30T00:00:00Z,Reims,roi de France
Philippe VI de France,1293-11-24T00:00:00Z,Fontainebleau,1350-08-30T00:00:00Z,Reims,roi de France
Guillaume d'Ockham,1285-01-01T00:00:00Z,Ockham,1349-04-17T00:00:00Z,Munich,
Bertrand Russell,1872-05-18T00:00:00Z,Trellech,1970-02-02T00:00:00Z,Penrhyndeudraeth,membre de la Chambre des lords
Andrea Mantegna,1431-01-01T00:00:00Z,Piazzola sul Brenta,1506-09-13T00:00:00Z,Mantoue,peintre de cour
Clément VII,1478-06-04T00:00:00Z,Florence,1534-10-05T00:00:00Z,Rome,"pape, cardinal, archevêque, évêque catholique, évêque diocésain, camerlingue du Sacré Collège, archevêque de Narbonne, Archevêque de Florence"
Olivier V de Clisson,1336-05-01T00:00:00Z,château de Clisson,1407-04-23T00:00:00Z,château de Josselin,connétable de France
Eudes IV de Bourgogne,1295-01-01T00:00:00Z,,1350-04-03T00:00:00Z,Sens,Prince d'Achaïe
Philippe d'Évreux,1306-03-27T00:00:00Z,,1343-09-16T00:00:00Z,Jerez de la Frontera,Monarque de Navarre
Édouard III,1312-11-21T00:00:00Z,château de Windsor,1377-06-29T00:00:00Z,palais de Richmond,monarque d'Angleterre
Pierre des Essarts,1350-01-01T00:00:00Z,,1413-07-10T00:00:00Z,Paris,prévôt de Paris
Étienne Marcel,1315-01-01T00:00:00Z,Paris,1358-08-16T00:00:00Z,Paris,prévôt des marchands de Paris
Andouin Aubert,1300-01-01T00:00:00Z,France,1363-05-10T00:00:00Z,Avignon,"doyen du Collège des cardinaux, évêque catholique, évêque diocésain, cardinal-évêque"
Jean III Doukas Vatatzès,1192-01-01T00:00:00Z,Didymotique,1254-11-10T00:00:00Z,Kemalpaşa,empereur byzantin
Jean de Meulan,1283-01-01T00:00:00Z,Saint-Quentin,1363-11-22T00:00:00Z,,évêque
Charles de Viane,1421-05-29T00:00:00Z,Peñafiel,1461-09-23T00:00:00Z,Barcelone,Monarque de Navarre
Charles V de France,1338-01-29T00:00:00Z,Vincennes,1380-09-24T00:00:00Z,Paris,roi de France
Nicole Oresme,1322-01-01T00:00:00Z,Fleury-sur-Orne,1382-07-11T00:00:00Z,Lisieux,"évêque catholique, évêque diocésain"
Robert Le Coq,1310-01-01T00:00:00Z,Montdidier,1373-01-01T00:00:00Z,Calahorra,évêque de Laon
Étienne Marcel,1315-01-01T00:00:00Z,Paris,1358-08-16T00:00:00Z,Paris,prévôt des marchands de Paris
Charles II de Navarre,1332-10-10T00:00:00Z,Évreux,1387-01-01T00:00:00Z,Pampelune,Monarque de Navarre
Q64761027,,,1513-11-10T00:00:00Z,,"évêque catholique, évêque diocésain"
Jean Perrette,,,,,
Jeanne II d'Auvergne,1378-01-01T00:00:00Z,,1424-01-01T00:00:00Z,,
Jean Maillard,1879-04-15T00:00:00Z,Paris,1927-05-19T00:00:00Z,Pavilly,"député de la Seine-Maritime, Conseiller général de la Seine-Maritime, maire de Pavilly"
Jean Bernières-Louvigny,1602-01-01T00:00:00Z,Caen,1659-05-03T00:00:00Z,Caen,Trésorier de France
Étienne de Poissy,1350-01-01T00:00:00Z,Poissy,1373-10-24T00:00:00Z,Avignon,évêque catholique
Charles Quint,1500-03-05T00:00:00Z,Gand,1558-10-01T00:00:00Z,monastère de Yuste,Q58637583
Hugues Aubriot,1320-01-01T00:00:00Z,hôtel Aubriot,1382-01-01T00:00:00Z,,prévôt de Paris
Aymeric de Magnac,,Saint-Junien,1385-03-29T00:00:00Z,Avignon,"évêque catholique, évêque diocésain"
Bertrand du Guesclin,1320-01-01T00:00:00Z,Broons,1380-07-21T00:00:00Z,Châteauneuf-de-Randon,connétable de France
Bertrand du Guesclin,1320-01-01T00:00:00Z,Broons,1380-07-21T00:00:00Z,Châteauneuf-de-Randon,connétable de France
Charles IV de Luxembourg,1316-05-14T00:00:00Z,Prague,1378-11-29T00:00:00Z,Prague,"prince-électeur, empereur romain germanique"
Charles VII du Saint-Empire,1697-08-06T00:00:00Z,Bruxelles,1745-01-20T00:00:00Z,Munich,"prince-électeur, empereur romain germanique"
Jean Blanchard,1575-01-01T00:00:00Z,Fay-de-Bretagne,1651-01-01T00:00:00Z,,"procureur général, maire de Nantes, Premier président"
Clément VII,1478-06-04T00:00:00Z,Florence,1534-10-05T00:00:00Z,Rome,"pape, cardinal, archevêque, évêque catholique, évêque diocésain, camerlingue du Sacré Collège, archevêque de Narbonne, Archevêque de Florence"
Louis XVI,1754-08-23T00:00:00Z,château de Versailles,1793-01-21T00:00:00Z,place de la Concorde,"roi de France et de Navarre, roi des Français"
Elfego Hernán Monzón Aguirre,1912-05-05T00:00:00Z,Santa Bárbara,1981-06-06T00:00:00Z,Guatemala,président du Guatemala
Jean Jouvenel des Ursins,1400-01-01T00:00:00Z,,1431-04-01T00:00:00Z,Poitiers,prévôt des marchands de Paris
Isabeau de Bavière,1370-01-01T00:00:00Z,Munich,1435-09-02T00:00:00Z,Paris,régent
Ferdinand Bol,1616-06-24T00:00:00Z,Dordrecht,1680-07-24T00:00:00Z,Amsterdam,
Pierre d'Ailly,1350-01-01T00:00:00Z,Compiègne,1420-01-01T00:00:00Z,Avignon,"cardinal, évêque catholique, légat pontifical, évêque diocésain, évêque de Limoges"
Jean de Gerson,1363-12-14T00:00:00Z,Gerson,1429-07-12T00:00:00Z,Lyon,
Marie d'Harcourt,1398-09-17T00:00:00Z,t1783964871,1476-04-28T00:00:00Z,t1783964872,
Aymerigot Marchès,1360-01-01T00:00:00Z,,1391-01-01T00:00:00Z,Paris,
Jeanne de Brigue,,,1391-08-19T00:00:00Z,Paris,
Pierre de Craon le Grand,1345-01-01T00:00:00Z,,1409-01-01T00:00:00Z,,
La Rivière,1721-01-01T00:00:00Z,Paris,1791-01-16T00:00:00Z,Paris,
Camille Le Mercier d'Erm,1888-11-12T00:00:00Z,Niort,1978-08-18T00:00:00Z,Dinard,
Jean de Gerson,1363-12-14T00:00:00Z,Gerson,1429-07-12T00:00:00Z,Lyon,
Benoît XIII,1649-02-02T00:00:00Z,Gravina in Puglia,1730-02-21T00:00:00Z,Rome,"pape, cardinal, archevêque catholique"
Mouammar Kadhafi,1942-06-07T00:00:00Z,Qasr Abou Hadi,2011-10-20T00:00:00Z,Syrte,"président de l'Union africaine, Q2070798, premier ministre de la Libye"
Henri VIII,1491-07-07T00:00:00Z,Palace of Placentia,1547-02-07T00:00:00Z,palais de Whitehall,monarque d'Angleterre
Isabelle de France,1295-01-01T00:00:00Z,Paris,1358-08-23T00:00:00Z,Castle Rising,régent
Richard III de Normandie,1001-01-01T00:00:00Z,Normandie,1027-08-12T00:00:00Z,Normandie,duc de Normandie
Louis d'Orléans,1703-08-04T00:00:00Z,Versailles,1752-02-04T00:00:00Z,abbaye Sainte-Geneviève de Paris,gouverneur de Bretagne
Pierre Marie de Saint-Georges,1795-02-15T00:00:00Z,Auxerre,1870-04-28T00:00:00Z,Paris,"bâtonnier, député"
Pierre Plaoul,1353-01-01T00:00:00Z,,1415-04-20T00:00:00Z,,évêque
Jean de Montagu,1350-01-01T00:00:00Z,,1415-10-25T00:00:00Z,bataille d'Azincourt,"chanoine, Chancelier de France, évêque de Chartres, archevêque de Sens"
Louis de Navarre,1341-01-01T00:00:00Z,,1376-01-01T00:00:00Z,Pouilles,Q6412197
Guillaume de Dormans,,,1405-10-02T00:00:00Z,,archevêque de Sens
Guillaume de Tignonville,,,1414-01-01T00:00:00Z,,prévôt de Paris
Isabeau de Bavière,1370-01-01T00:00:00Z,Munich,1435-09-02T00:00:00Z,Paris,régent
Barbette,1898-12-19T00:00:00Z,Round Rock,1973-08-05T00:00:00Z,Austin,
Jean Courtecuisse,1350-01-01T00:00:00Z,Le Mans,1423-03-04T00:00:00Z,Genève,évêque
Charles III d'Espagne,1716-01-20T00:00:00Z,Madrid,1788-12-14T00:00:00Z,Madrid,"gouverneur général des Philippines, Souverain de Naples et de Sicile, Q58637583"
Jean de Popincourt,,,,,
Louis-Philippe Ier,1773-10-06T00:00:00Z,Paris,1850-08-26T00:00:00Z,Claremont House,"roi des Français, chef du gouvernement français, pair de France"
Charles de Savoisy,1368-01-01T00:00:00Z,,1420-01-01T00:00:00Z,,Grand bouteiller de France
Jacques Legrand,1946-06-26T00:00:00Z,Rennes,,,président d'université
Clotilde,0475-01-01T00:00:00Z,Lyon,0545-06-03T00:00:00Z,Tours,roi des Francs
Jean Ier de Bourgogne,1371-06-05T00:00:00Z,Dijon,1419-09-19T00:00:00Z,Montereau-Fault-Yonne,régent
Nicolas Flamel,1330-01-01T00:00:00Z,Pontoise,1418-03-31T00:00:00Z,Paris,
Valentine Visconti,1366-01-01T00:00:00Z,Milan,1408-12-13T00:00:00Z,château de Blois,
Jean de Petit,1450-01-01T00:00:00Z,,1478-05-07T00:00:00Z,Annonay,évêque
Isabelle d'Orléans-Bragance,1911-08-13T00:00:00Z,musée Louis-Philippe du château d'Eu,2003-07-05T00:00:00Z,Paris,
Charles d'Orléans de Rothelin,1691-08-05T00:00:00Z,Paris,1744-07-17T00:00:00Z,Paris,fauteuil 11 de l'Académie française
Benoît XIII,1649-02-02T00:00:00Z,Gravina in Puglia,1730-02-21T00:00:00Z,Rome,"pape, cardinal, archevêque catholique"
Landry de Paris,0700-01-01T00:00:00Z,Paris,0700-01-01T00:00:00Z,Paris,"évêque catholique, évêque de Paris"
Jean Gilet,1948-06-04T00:00:00Z,,,,"maire de Saint-Étienne-de-Mer-Morte, conseiller municipal de Saint-Étienne-de-Mer-Morte"
Alexandre von Benckendorff,1849-08-01T00:00:00Z,Berlin,1917-01-11T00:00:00Z,Londres,ambassadeur
Pierre d'Orgemont,1315-01-01T00:00:00Z,Lagny-sur-Marne,1389-06-03T00:00:00Z,Paris,
Q75890191,,,,,
Richard Hammond,1969-12-19T00:00:00Z,Solihull,,,
Bernard d'Armagnac,1400-04-07T00:00:00Z,,1462-01-01T00:00:00Z,,
Louis Marcoussis,1878-11-14T00:00:00Z,Varsovie,1941-10-22T00:00:00Z,Cusset,
Simon Caboche,,,,,
Jean de Roye,1425-01-01T00:00:00Z,,1495-01-01T00:00:00Z,,
Henri de Marle,1373-01-01T00:00:00Z,,1418-05-29T00:00:00Z,Paris,"Chancelier de France, Premier président du Parlement de Paris"
Jean II de Bourbon,1426-09-08T00:00:00Z,,1488-04-10T00:00:00Z,château,connétable de France
Gérson Bergher,1925-04-09T00:00:00Z,Rio de Janeiro,2016-05-30T00:00:00Z,Rio de Janeiro,conseiller municipal de Rio de Janeiro
Pierre Cauchon,1371-01-01T00:00:00Z,Reims,1442-12-27T00:00:00Z,Rouen,"évêque catholique, évêque diocésain"
Norwich Rüße,1966-04-19T00:00:00Z,Steinfurt,,,député au Landtag de Rhénanie-du-Nord-Westphalie
Henri Ier de Brabant,1165-01-01T00:00:00Z,Louvain,1235-09-05T00:00:00Z,Cologne,
Regnaut de Gournay,,,1603-01-01T00:00:00Z,,
Nicolas d’Orgemont,1400-01-01T00:00:00Z,,1416-07-16T00:00:00Z,Meung-sur-Loire,
Louis de Boissy,1694-11-26T00:00:00Z,Vic-sur-Cère,1758-04-19T00:00:00Z,Paris,fauteuil 6 de l'Académie française
Sébastien Bourdon,1616-02-02T00:00:00Z,Montpellier,1671-05-08T00:00:00Z,Paris,peintre de cour
Jean Ier de France,1316-11-23T00:00:00Z,Paris,1316-11-28T00:00:00Z,Paris,"roi, Monarque de Navarre"
Martin V,1369-01-01T00:00:00Z,Genazzano,1431-03-01T00:00:00Z,Rome,"pape, cardinal, protonotaire apostolique"
Guy de Bar,,,,,
Jean de Villiers,1300-01-01T00:00:00Z,France,1294-01-01T00:00:00Z,Chypre,Grands maîtres de l'ordre de Saint-Jean de Jérusalem
Adam,1200-01-01T00:00:00Z,,1222-01-01T00:00:00Z,,abbé
Philippe de Morvilliers,1380-01-01T00:00:00Z,Amiens,1438-08-03T00:00:00Z,Lille,Premier président du Parlement de Paris
Guigues IV d'Albon,1150-01-01T00:00:00Z,,1142-01-01T00:00:00Z,La Buissière,
John Jervis,1734-01-09T00:00:00Z,Meaford Hall,1823-03-13T00:00:00Z,Brentwood,"membre au Parlement de Grande-Bretagne, membre de la Chambre des lords, membre du Conseil privé du Royaume-Uni"
Nicolas de Baye,1364-01-01T00:00:00Z,Baye,1419-05-09T00:00:00Z,,
Henri VIII,1491-07-07T00:00:00Z,Palace of Placentia,1547-02-07T00:00:00Z,palais de Whitehall,monarque d'Angleterre
Philippe III de Bourgogne,1396-08-08T00:00:00Z,Dijon,1467-06-24T00:00:00Z,Bruges,monarque
Marie-Antoinette,1755-11-02T00:00:00Z,Vienne,1793-10-16T00:00:00Z,Paris,reine de France
Henri VIII,1491-07-07T00:00:00Z,Palace of Placentia,1547-02-07T00:00:00Z,palais de Whitehall,monarque d'Angleterre
Louis-Gaston de Ségur,1820-04-15T00:00:00Z,Paris,1881-06-09T00:00:00Z,Paris,protonotaire apostolique
Jean de La Rochetaillée,1360-01-01T00:00:00Z,France,1437-03-24T00:00:00Z,Bologne,"évêque catholique, archevêque catholique"
Simon Morhier,1390-01-01T00:00:00Z,,1449-01-01T00:00:00Z,La Boissière-École,
Henri VIII,1491-07-07T00:00:00Z,Palace of Placentia,1547-02-07T00:00:00Z,palais de Whitehall,monarque d'Angleterre
Hémon Raguier,1350-01-01T00:00:00Z,,1433-01-01T00:00:00Z,Tours,
Jean de Nanton,,,,,archevêque de Sens
Q36521885,,,,,
Jean-François de La Trémoille,1465-01-01T00:00:00Z,France,1507-06-19T00:00:00Z,Milan,"cardinal, archevêque catholique"
Richard Nixon,1913-01-09T00:00:00Z,Yorba Linda,1994-04-22T00:00:00Z,Manhattan,"président des États-Unis, vice-président des États-Unis, sénateur des États-Unis, représentant des États-Unis"
Jeanne d'Arc,1412-01-01T00:00:00Z,Domrémy-la-Pucelle,1431-06-08T00:00:00Z,Rouen,
Guillaume Sanguin,,,1442-02-23T00:00:00Z,,
Henri Beaufort,1436-02-04T00:00:00Z,Londres,1464-05-24T00:00:00Z,bataille de Hexham,membre de la Chambre des lords
Trever O$Brien,1984-01-19T00:00:00Z,Newport Beach,,,
Anne de Grande-Bretagne,1665-02-06T00:00:00Z,palais Saint James,1714-08-01T00:00:00Z,palais de Kensington,"monarque, reine régnante, monarque d'Angleterre, roi d'Écosse"
Louis de Luxembourg,1391-01-01T00:00:00Z,France,1443-09-18T00:00:00Z,Hartfield,"évêque d'Ely, évêque catholique, évêque diocésain, archevêque catholique"
Richemont-Banchereau,1612-01-01T00:00:00Z,Saumur,,,
Valérian Taramon,1974-01-01T00:00:00Z,Bourgoin-Jallieu,,,
Michel de Montaigne,1533-03-10T00:00:00Z,Saint-Michel-de-Montaigne,1592-09-12T00:00:00Z,Saint-Michel-de-Montaigne,maire de Bordeaux
Arthur III de Bretagne,1393-09-01T00:00:00Z,château de Suscinio,1459-01-04T00:00:00Z,Nantes,connétable de France
Ambroise de Loré,1395-01-01T00:00:00Z,Oisseau,1446-06-03T00:00:00Z,Paris,
Layes Abdullayeva,1991-05-29T00:00:00Z,Addis-Abeba,,,
Denis du Moulin,,Meaux,1447-09-15T00:00:00Z,Paris,"archevêque, évêque diocésain, archevêque catholique"
Claude,-0009-07-30T00:00:00Z,Lugdunum,0054-10-11T00:00:00Z,Rome,"censeur, empereur romain, sénateur romain, consul de l'Empire romain"
Marguerite de Bourgogne,1231-01-01T00:00:00Z,t1616511914,1277-08-27T00:00:00Z,t1616511915,régent
David Carradine,1936-12-08T00:00:00Z,Hollywood,2009-06-03T00:00:00Z,Bangkok,
Robert Ciboule,1403-01-01T00:00:00Z,,1458-01-01T00:00:00Z,Paris,
Henri VIII,1491-07-07T00:00:00Z,Palace of Placentia,1547-02-07T00:00:00Z,palais de Whitehall,monarque d'Angleterre
Quentin,0200-01-01T00:00:00Z,,0287-01-01T00:00:00Z,Saint-Quentin,
Q76355930,,,,,
Robert VII d'Estouteville,,,,,
Eugène IV,1383-01-01T00:00:00Z,Venise,1447-03-04T00:00:00Z,Rome,"pape, cardinal, évêque catholique, évêque diocésain"
Jean Hamelin,1916-02-02T00:00:00Z,Baguer-Pican,1987-12-19T00:00:00Z,Rennes,député
Agnès Sorel,1422-01-01T00:00:00Z,château de Fromenteau,1450-02-18T00:00:00Z,Le Mesnil-sous-Jumièges,
Mathurin Méheut,1882-05-21T00:00:00Z,Lamballe,1958-02-22T00:00:00Z,Paris,peintre de la Marine
Guillaume Chartier,1395-01-01T00:00:00Z,Bayeux,1472-05-10T00:00:00Z,Paris,"évêque catholique, évêque diocésain, évêque de Paris"
Arnoul Gréban,1420-01-01T00:00:00Z,Le Mans,1471-01-01T00:00:00Z,,
Jean Bureau,1390-01-01T00:00:00Z,Semoine,1463-07-05T00:00:00Z,Paris,"prévôt des marchands de Paris, Grand maître de l'artillerie de France, maire de Bordeaux"
Guillaume d'Estouteville,1403-01-01T00:00:00Z,Normandie,1483-01-31T00:00:00Z,Rome,"abbé, camerlingue de la Sainte Église romaine, doyen du Collège des cardinaux, évêque catholique, évêque diocésain, cardinal-évêque, camerlingue du Sacré Collège, évêque de Nîmes, archevêque catholique"
Maître de Dreux Budé,1500-01-01T00:00:00Z,,1450-01-01T00:00:00Z,Mons,
François Villon,1431-04-10T00:00:00Z,Paris,1463-01-01T00:00:00Z,France,
Alain IV de Coëtivy,1407-11-17T00:00:00Z,Plounéventer,1474-05-13T00:00:00Z,Rome,"évêque diocésain, cardinal-évêque, camerlingue du Sacré Collège, évêque d'Uzès, évêque de Nîmes"
Jacques Villon,1875-07-31T00:00:00Z,Damville,1963-06-09T00:00:00Z,Puteaux,
Jean V d'Armagnac,1420-01-01T00:00:00Z,,1473-03-15T00:00:00Z,Lectoure,
Henri de Livres,1500-01-01T00:00:00Z,,1493-05-13T00:00:00Z,,
Jean Raulin,1443-01-01T00:00:00Z,Toul,1514-01-01T00:00:00Z,,
Louis XIV,1638-09-05T00:00:00Z,château de Saint-Germain-en-Laye,1715-09-01T00:00:00Z,château de Versailles,roi de France et de Navarre
Jacques de Villiers,1913-11-14T00:00:00Z,Nancy,2000-01-28T00:00:00Z,Boulogne,"Conseiller général de la Vendée, maire de Boulogne"
Charles II le Chauve,0823-06-13T00:00:00Z,Francfort-sur-le-Main,0877-10-06T00:00:00Z,Avrieux,roi de Francie occidentale
Charles de Melun,1500-01-01T00:00:00Z,,1468-08-22T00:00:00Z,Les Andelys,connétable de France
"Jean, Marceau Meunier",1750-09-04T00:00:00Z,Orléans,1814-03-03T00:00:00Z,Orléans,membre du Conseil des Cinq-Cents
Jean Mignon,1893-11-11T00:00:00Z,,1949-05-20T00:00:00Z,,député
Alix de Hesse-Darmstadt,1872-06-06T00:00:00Z,Darmstadt,1918-07-17T00:00:00Z,Iekaterinbourg,empereur
Louis de Navarre,1341-01-01T00:00:00Z,,1376-01-01T00:00:00Z,Pouilles,Q6412197
Jean Hardion,1858-04-05T00:00:00Z,Chambray-lès-Tours,1932-05-31T00:00:00Z,Tours,"architecte diocésain, architecte en chef des monuments historiques"
Guillaume II,1859-01-27T00:00:00Z,palais du Kronprinz,1941-06-04T00:00:00Z,Q559460,"empereur allemand, roi de Prusse"
Alphonse VI de León,1040-06-01T00:00:00Z,Saint-Jacques-de-Compostelle,1109-07-08T00:00:00Z,Tolède,"Monarque du Royaume de León, Monarque du royaume de Castille, roi de Galice"
Jacques d'Estouteville,,,1177-01-01T00:00:00Z,,
Claire d'Assise,1193-01-01T00:00:00Z,Assise,1253-08-18T00:00:00Z,San Damiano,prieur
Jean Standonck,1454-08-16T00:00:00Z,Malines,1504-02-05T00:00:00Z,Paris,
Anne de France,1461-04-12T00:00:00Z,Genappe,1522-11-24T00:00:00Z,Chantelle,régent
Pierre II de Bourbon,1438-12-10T00:00:00Z,Moulins,1503-10-20T00:00:00Z,Moulins,régent
Olivier Le Daim,1434-01-01T00:00:00Z,Tielt,1484-05-24T00:00:00Z,Paris,
Charles VIII,1470-07-09T00:00:00Z,Amboise,1498-04-16T00:00:00Z,Amboise,roi de France
Jean du Drac,,,1473-05-26T00:00:00Z,Meaux,évêque
Georges d'Amboise,1460-01-01T00:00:00Z,Chaumont-sur-Loire,1510-05-25T00:00:00Z,Lyon,"cardinal, évêque diocésain, archevêque de Narbonne, archevêque catholique"
Robert Cormier,1925-01-17T00:00:00Z,Massachusetts,2000-11-02T00:00:00Z,Boston,
Jean Langlois,1824-02-16T00:00:00Z,Saint-Laurent-de-l'Île-d'Orléans,1886-03-08T00:00:00Z,Québec,député de la Chambre des communes du Canada
Anne de Bretagne,1477-02-03T00:00:00Z,château des ducs de Bretagne,1514-01-19T00:00:00Z,Blois,
Gérard Gobaille,1450-01-01T00:00:00Z,Soissons,1494-09-12T00:00:00Z,Melun,évêque
Jean-Simon de Champigny,1450-01-01T00:00:00Z,Paris,1502-01-01T00:00:00Z,Paris,évêque
Jean-Simon de Champigny,1450-01-01T00:00:00Z,Paris,1502-01-01T00:00:00Z,Paris,évêque
"Jean de Montmirail, évêque",,Champagne,1479-01-01T00:00:00Z,,évêque de Vaison
Louis XII,1462-07-06T00:00:00Z,Blois,1515-01-11T00:00:00Z,Paris,roi de France
Pierre le Caron,1450-01-01T00:00:00Z,,,,
Nicolas IV Potier,1505-01-01T00:00:00Z,,1628-01-01T00:00:00Z,La Rochelle,Secrétaire d'État des Affaires étrangères
