nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Giovanni Treves,,,,,
Pierre Boileau,1948-08-09T00:00:00Z,,,,"maire de Ludres, conseiller municipal de Ludres, conseiller de la Métropole du Grand Nancy"
Jean Boucher,1548-01-01T00:00:00Z,Paris,1646-01-01T00:00:00Z,Tournai,recteur
Jean Bouchéty,1920-03-01T00:00:00Z,L'Étang-la-Ville,2006-07-19T00:00:00Z,,
Pierre Bouton,1943-12-19T00:00:00Z,,,,
Pierre Caillet,1980-08-17T00:00:00Z,La Mure,,,
Pierre Cailler,1901-01-01T00:00:00Z,,1971-07-20T00:00:00Z,,
Paul Gavarni,1804-01-13T00:00:00Z,Paris,1866-11-23T00:00:00Z,Auteuil,
Pierre Colin,1923-03-11T00:00:00Z,Paris,2009-12-17T00:00:00Z,,doyen
Jean Cordelle,1871-07-01T00:00:00Z,Le Creusot,1935-04-01T00:00:00Z,Chalon-sur-Saône,député
Jean de Courcy,1340-01-01T00:00:00Z,,1396-01-01T00:00:00Z,,
Adam de Croix,1970-01-01T00:00:00Z,Chicago,,,
Pierre de Dammartin,,,1106-01-01T00:00:00Z,,comte de Dammartin
Pierre des Essarts,1350-01-01T00:00:00Z,,1413-07-10T00:00:00Z,Paris,prévôt de Paris
Jean de Dreux,1198-01-01T00:00:00Z,,1239-11-01T00:00:00Z,Palestine,
Pierre Du Chastel,1480-01-01T00:00:00Z,Arc-en-Barrois,1552-02-13T00:00:00Z,,"évêque catholique, évêque diocésain, grand aumônier de France, Maître de la Librairie du Roi"
Pierre Fouquet,1913-09-27T00:00:00Z,Versailles,1998-08-10T00:00:00Z,,
Jean Ier de France,1316-11-23T00:00:00Z,Paris,1316-11-28T00:00:00Z,Paris,"roi, Monarque de Navarre"
Jean de Gand,1340-07-02T00:00:00Z,Gand,1399-02-11T00:00:00Z,château Leicester,Lord Grand Intendant
Jean-Gilles du Coëtlosquet,1700-09-15T00:00:00Z,Saint-Pol-de-Léon,1784-03-21T00:00:00Z,Paris,"évêque catholique, évêque diocésain, évêque de Limoges, fauteuil 16 de l'Académie française"
Jean Godin des Odonais,1713-07-05T00:00:00Z,Saint-Amand-Montrond,1792-03-01T00:00:00Z,Saint-Amand-Montrond,
Jean de Hesdin,1320-01-01T00:00:00Z,Hesdin,1412-01-01T00:00:00Z,,
Q68904893,,,1483-03-16T00:00:00Z,,"évêque catholique, évêque diocésain"
Q19042957,,,1631-01-01T00:00:00Z,,
Robert de La Porte,,Caen,1379-01-01T00:00:00Z,,évêque
Q55711778,,,,,
Pierre Le Breton,1805-04-25T00:00:00Z,Pléven,1886-05-21T00:00:00Z,Le Puy-en-Velay,"évêque catholique, évêque diocésain"
Jean-Marie Le Roux,1863-04-04T00:00:00Z,Prat,1949-01-01T00:00:00Z,Rennes,
Pierre de Saint-Chrysogone,1110-01-01T00:00:00Z,France,1182-08-08T00:00:00Z,,"cardinal, archevêque, évêque catholique"
Guillaume de Melun,1670-01-01T00:00:00Z,,1735-01-01T00:00:00Z,,Capitaine général de Catalogne
Jean de Montfort,1300-01-01T00:00:00Z,,1283-11-27T00:00:00Z,,
Guillaume Morin,1995-01-16T00:00:00Z,Avranches,,,
Pierre Morin,1896-01-01T00:00:00Z,,1987-01-01T00:00:00Z,,
Pierre de Nantes,1350-01-01T00:00:00Z,,1363-01-01T00:00:00Z,,"évêque catholique, évêque diocésain"
Guillaume-Nicolas de Wurtemberg,1828-07-20T00:00:00Z,Pokój,1896-11-05T00:00:00Z,Mérano,membre de la Chambre des seigneurs de Prusse
Q50363416,,,,,préfet
Jean-Olivier Briand,1715-01-23T00:00:00Z,Plérin,1794-06-25T00:00:00Z,Québec,"évêque catholique, évêque diocésain"
Pierre-Ossian Bonnet,1819-12-22T00:00:00Z,Montpellier,1892-06-22T00:00:00Z,Paris,président
Pierre-Ossian Bonnet,1819-12-22T00:00:00Z,Montpellier,1892-06-22T00:00:00Z,Paris,président
Nicolas Parent,1817-03-21T00:00:00Z,Sallanches,1890-04-16T00:00:00Z,Chambéry,"président, conseil général de la Savoie, député, sénateur"
Jean Perréal,1450-01-01T00:00:00Z,Paris,1530-01-01T00:00:00Z,Paris,peintre de cour
Nicolas-Pierre-Dominique Billard,1766-11-04T00:00:00Z,Chartres,1831-10-29T00:00:00Z,Paris,"Conseiller général d'Eure-et-Loir, député d'Eure-et-Loir, maire de Chartres"
Piotr Biłos,1977-01-01T00:00:00Z,Katowice,,,"maître de conférences, professeur agrégé"
Jean Rivet,1935-01-01T00:00:00Z,Calais,,,
Cadet Rousselle,1743-04-30T00:00:00Z,Orgelet,1807-01-28T00:00:00Z,Auxerre,
Jacques Rousselot,1949-12-06T00:00:00Z,Pont-Saint-Vincent,,,président-directeur général
Q59542845,,,,,
Thomas Linière Taschereau,1850-10-08T00:00:00Z,Sainte-Marie,1901-05-29T00:00:00Z,Québec,"maire, député de la Chambre des communes du Canada"
Nicolas Thomas Barthe,1734-01-01T00:00:00Z,Marseille,1785-06-17T00:00:00Z,Paris,directeur
Jean de Roye,1425-01-01T00:00:00Z,,1495-01-01T00:00:00Z,,
Q65085018,,,,,
Nicolas de Verdun,1130-01-01T00:00:00Z,Verdun,1210-01-01T00:00:00Z,Tournai,
Jean-Vincent d'Abbadie de Saint-Castin,1652-01-01T00:00:00Z,Escout,1707-02-03T00:00:00Z,Pau,Sachem
Q60461588,,,,,
Jean Baudry,1763-01-12T00:00:00Z,Lonzac,1830-10-14T00:00:00Z,Saintes,député
Jean Beleth,1101-01-01T00:00:00Z,,1185-01-01T00:00:00Z,,
Jean Benoist,1929-11-24T00:00:00Z,,,,
Guillaume Bouchet,1513-01-01T00:00:00Z,Poitiers,1594-01-01T00:00:00Z,,
Jean de Brienne,1158-01-01T00:00:00Z,,1237-03-30T00:00:00Z,Constantinople,roi
Robert Chevalier,1896-10-14T00:00:00Z,,1971-03-17T00:00:00Z,,sénateur
Jean de Corbie,1350-01-01T00:00:00Z,,,,évêque
Jean Courtois,1912-08-21T00:00:00Z,Damparis,1992-08-15T00:00:00Z,,"député, maire de Damparis"
Denis Davydov,1784-07-27T00:00:00Z,Moscou,1839-05-04T00:00:00Z,Q4108884,
Jean Guérout,1928-11-03T00:00:00Z,,,,
Jean Hardy,1762-01-01T00:00:00Z,Mouzon,1802-01-01T00:00:00Z,Cap-Haïtien,
Thomas Le Breton,1763-09-29T00:00:00Z,Jersey,1838-03-11T00:00:00Z,,
Pierre Marcellin Rouveure,1807-04-27T00:00:00Z,Annonay,1889-10-13T00:00:00Z,Annonay,"député de l'Ardèche, maire d’Annonay"
Jean Quatremer,1957-11-27T00:00:00Z,Nancy,,,
Jean Choisy,,,,,
Jean Feuillet,1915-01-20T00:00:00Z,Cambrai,,,
Pierre Mairesse-Lebrun,1912-03-16T00:00:00Z,Loir-et-Cher,2003-12-06T00:00:00Z,,
Jean Becquet,1917-10-23T00:00:00Z,Camon,2003-08-14T00:00:00Z,Ligugé,
Robert Chevalier,1896-10-14T00:00:00Z,,1971-03-17T00:00:00Z,,sénateur
Q75879583,,,,,
Q75439337,,,,,
Jean Melein,1876-03-30T00:00:00Z,,1947-02-20T00:00:00Z,,sénateur
Q68910596,,,1522-06-08T00:00:00Z,,"évêque catholique, évêque diocésain"
Jean Godin des Odonais,1713-07-05T00:00:00Z,Saint-Amand-Montrond,1792-03-01T00:00:00Z,Saint-Amand-Montrond,
Jean Carmet,1920-04-25T00:00:00Z,Bourgueil,1994-04-20T00:00:00Z,Sèvres,
Jean Cousin,1401-01-01T00:00:00Z,,1599-01-01T00:00:00Z,,
Q84725850,,,,,
Jean Duchemin,1540-01-01T00:00:00Z,Treignac,1616-07-31T00:00:00Z,Cassaigne,"évêque catholique, évêque diocésain"
Jean de La Fontaine,1621-07-08T00:00:00Z,Château-Thierry,1695-04-13T00:00:00Z,Paris,fauteuil 24 de l'Académie française
Jean Lefebvre de Cheverus,1768-01-28T00:00:00Z,Mayenne,1836-07-19T00:00:00Z,Bordeaux,"cardinal, évêque catholique, évêque diocésain, pair de France, archevêque catholique"
Robert Le Noir,1894-01-01T00:00:00Z,,1973-01-01T00:00:00Z,,
Robert Le Noir,1894-01-01T00:00:00Z,,1973-01-01T00:00:00Z,,
Q51078363,,,,,préfet
Jean Perrault,1945-05-28T00:00:00Z,,,,maire
Michel Rousselot,1943-07-21T00:00:00Z,Lyon,,,"membre du Conseil économique, social et environnemental"
Raoul Roussel,1389-01-01T00:00:00Z,Villedieu-les-Poêles,1452-12-31T00:00:00Z,Rouen,archevêque
Guillaume de Boulogne,1135-01-01T00:00:00Z,,1159-10-01T00:00:00Z,Toulouse,
Pierre du Val,1500-01-01T00:00:00Z,,1558-01-01T00:00:00Z,,
Jean-Jacques Annaud,1943-10-01T00:00:00Z,Juvisy-sur-Orge,,,
Jacques Vigoureux Duplessis,1680-01-01T00:00:00Z,,1732-06-04T00:00:00Z,Paris,
Vivien Leidet,1736-09-16T00:00:00Z,,,,
Jean Baudet,1914-07-18T00:00:00Z,Paris,1989-05-24T00:00:00Z,,
Q68864040,,,,,"évêque auxiliaire, évêque catholique, évêque titulaire"
Alain Le Breton de la Plussinais,1657-02-17T00:00:00Z,Saint-Malo,1728-04-02T00:00:00Z,,maire de Saint-Malo
Nicolas Le Breton,1973-08-03T00:00:00Z,,,,
Jean-Baptiste Belin,1653-11-09T00:00:00Z,Caen,1715-12-02T00:00:00Z,Paris,
Jean de Gisors,1133-01-01T00:00:00Z,,1220-01-01T00:00:00Z,,
Paul Gavarni,1804-01-13T00:00:00Z,Paris,1866-11-23T00:00:00Z,Auteuil,
Paul Gavarni,1804-01-13T00:00:00Z,Paris,1866-11-23T00:00:00Z,Auteuil,
Q56856509,,,,,
Jean-Jacques Annaud,1943-10-01T00:00:00Z,Juvisy-sur-Orge,,,
Jean de Nivelle,1422-01-01T00:00:00Z,,1477-06-26T00:00:00Z,,
Jean Béguin-Billecocq,1875-02-08T00:00:00Z,Paris,1936-08-04T00:00:00Z,Chinon,"chargé d'affaires, drogman, consul général"
Jean Doublet,1906-05-26T00:00:00Z,Montdidier,1981-07-17T00:00:00Z,Montdidier,député
Jean Guibert,1857-01-01T00:00:00Z,,1914-01-01T00:00:00Z,,
Pierre de La Forest,1305-01-01T00:00:00Z,France,1361-06-07T00:00:00Z,Avignon,"cardinal, archevêque"
Pierre de Martigny,,,1560-06-06T00:00:00Z,,"évêque catholique, évêque diocésain"
Louis Pelletier,1754-05-20T00:00:00Z,Saint-Lubin-de-la-Haye,1843-08-27T00:00:00Z,Montpellier,
Pierre Robert,1814-01-28T00:00:00Z,Rouen,1904-04-28T00:00:00Z,Fécamp,"député, sénateur"
Guillaume Thibault,,,,,
Jean Thibault,1923-06-06T00:00:00Z,Chabris,,,"maire, député"
Jean  de Berry,1340-12-08T00:00:00Z,Vincennes,1416-06-24T00:00:00Z,Paris,
Jean Varin,1607-02-06T00:00:00Z,Liège,1672-08-22T00:00:00Z,Paris,
Q27577173,,,,,"évêque auxiliaire, évêque catholique, évêque titulaire"
Q75290780,,,,,
Jean du Plessis-Pasté,,,1332-03-01T00:00:00Z,,évêque
Jacques Georget,1953-11-22T00:00:00Z,,,,"maire de La Nouaille, conseiller municipal de La Nouaille, conseiller communautaire de Creuse Grand Sud"
Pierre Le Breton,1805-04-25T00:00:00Z,Pléven,1886-05-21T00:00:00Z,Le Puy-en-Velay,"évêque catholique, évêque diocésain"
Jean Le Duc,1907-06-13T00:00:00Z,Morlaix,1999-12-31T00:00:00Z,Carantec,"député, maire de Morlaix"
Q51078363,,,,,préfet
Pierre Mouton,1896-07-01T00:00:00Z,,1945-01-01T00:00:00Z,,
Jean de Nesle-Offémont,1288-01-01T00:00:00Z,,1352-05-25T00:00:00Z,,
Jean de Nivelle,1422-01-01T00:00:00Z,,1477-06-26T00:00:00Z,,
Jean Renart,1175-01-01T00:00:00Z,Île-de-France,1300-01-01T00:00:00Z,,
Jean de Saint-Denis,1905-04-08T00:00:00Z,Saint-Pétersbourg,1970-01-30T00:00:00Z,Paris,évêque orthodoxe
Joseph-Marie Amiot,1718-02-08T00:00:00Z,Toulon,1793-10-09T00:00:00Z,Pékin,
Jean Aubry,,,,,
Pierre-Barthélémy Portal d'Albarèdes,1765-10-31T00:00:00Z,Montauban,1845-01-11T00:00:00Z,Bordeaux,"député, pair de France, Pair de France, maire de Bordeaux, Régent de la Banque de France"
Jean Baudet,1914-07-18T00:00:00Z,Paris,1989-05-24T00:00:00Z,,
Jean Baudry,1763-01-12T00:00:00Z,Lonzac,1830-10-14T00:00:00Z,Saintes,député
Antoine Bernier,1997-09-10T00:00:00Z,,,,
Jean Bidault,1796-03-11T00:00:00Z,Dun-sur-Auron,1854-11-01T00:00:00Z,Cher,député
Jean Binet,,,,,maire de Tours
Jean Boissel,1891-05-01T00:00:00Z,Bains,1951-01-01T00:00:00Z,,directeur
Jean Boivin,1663-09-01T00:00:00Z,Montreuil-l'Argillé,1726-10-29T00:00:00Z,Paris,fauteuil 21 de l'Académie française
Jean Bontemps,1550-01-01T00:00:00Z,France,1572-01-01T00:00:00Z,Curaçao,
Jean Bourdier,1932-06-06T00:00:00Z,La Frette-sur-Seine,2010-10-03T00:00:00Z,Paris,
Jean Buisson,1666-01-01T00:00:00Z,Vitry-le-François,1726-07-21T00:00:00Z,Hamm,
Pierre Buisson de Basseville,,,,,maire
Guillaume-Charles Faipoult,1752-12-04T00:00:00Z,Paris,1817-10-08T00:00:00Z,Paris,"ministre de l'Économie, des Finances et de l'Industrie"
Jean Chartier,1385-01-01T00:00:00Z,Bayeux,1464-02-19T00:00:00Z,,
Jean Chemineau,1771-04-26T00:00:00Z,Angoulême,1852-06-12T00:00:00Z,Poitiers,
Jean Chemineau,1771-04-26T00:00:00Z,Angoulême,1852-06-12T00:00:00Z,Poitiers,
Jean Cochery,1889-10-13T00:00:00Z,Paris,1951-08-25T00:00:00Z,Fontainebleau,
Pierre Coulon,1913-06-28T00:00:00Z,Paris,1967-08-06T00:00:00Z,Le Pouliguen,"député européen, député, maire de Vichy"
Jean Courtois,1912-08-21T00:00:00Z,Damparis,1992-08-15T00:00:00Z,,"député, maire de Damparis"
Guillaume Cousinot le Chancelier,1350-01-01T00:00:00Z,,,,
Henri Cuvelier,1908-06-01T00:00:00Z,Tourcoing,1937-01-25T00:00:00Z,Roubaix,
Pierre-Denis Vregeon,1723-09-20T00:00:00Z,Rouen,1794-05-02T00:00:00Z,Rouen,"bibliothécaire, intendant"
Jean Dufresne de Moustiers,1514-01-01T00:00:00Z,,1569-01-01T00:00:00Z,,"évêque catholique, évêque diocésain, évêque de  Bayonne, Lescar et Oloron"
Jean Deuve,1918-03-06T00:00:00Z,Granville,2008-12-01T00:00:00Z,Granville,
Jean Devillers-Terschuren,1955-01-01T00:00:00Z,,,,
Q55626352,,,,,
Q21055177,,,,,
Jean Gaignet,1839-01-01T00:00:00Z,,1914-01-01T00:00:00Z,,
Henri Gervais,1910-05-14T00:00:00Z,,1978-12-01T00:00:00Z,,préfet
Jean Hardouin,1646-12-23T00:00:00Z,Quimper,1729-09-03T00:00:00Z,Paris,
Philippe Hardy,1959-01-13T00:00:00Z,,,,"maire de Lorry-Mardigny, conseiller municipal de Lorry-Mardigny, conseiller communautaire de Mad et Moselle"
Pierre de Hauteville,1376-01-01T00:00:00Z,,1448-10-10T00:00:00Z,,
Jean C. Havez,1872-12-24T00:00:00Z,Baltimore,1925-02-11T00:00:00Z,Beverly Hills,
Q37843399,,,,,
Q75434381,,,1926-05-10T00:00:00Z,,
Jean Gery,1601-01-01T00:00:00Z,,t1360404744,Coahuila,
Jean Jolivet,1925-01-09T00:00:00Z,Saint-Cloud,2018-03-08T00:00:00Z,Rueil-Malmaison,
Jean Jourdan,1908-07-28T00:00:00Z,Aimargues,1986-11-14T00:00:00Z,Le Cailar,Q63685694
Q76241017,,,,,
Pierre Lardinois,1924-08-13T00:00:00Z,Margraten,1987-07-16T00:00:00Z,Amsterdam,"député européen, membre de la Seconde Chambre des États généraux"
Pierre Le Fèvre de Beauvray,1724-01-01T00:00:00Z,,,,
Pierre Le Maire II,,,,,
Jean Royer de Prade,1624-01-01T00:00:00Z,,1680-01-01T00:00:00Z,,
Jean Le Sueur,1910-06-24T00:00:00Z,Dieppe,1969-08-27T00:00:00Z,Ispagnac,
Jean Le Sueur,1910-06-24T00:00:00Z,Dieppe,1969-08-27T00:00:00Z,Ispagnac,
Jean Le Tellier,,,,,
Lukas von Hildebrandt,1668-11-14T00:00:00Z,Gênes,1745-11-16T00:00:00Z,Vienne,
Jean Lyon,1909-03-28T00:00:00Z,,,,secrétaire général
Jean Marion,1912-05-06T00:00:00Z,18e arrondissement de Paris,1967-03-12T00:00:00Z,Marseille,
Q49030171,,,,,président
Pierre Martin Ngo Dinh Thuc,1897-10-06T00:00:00Z,Hué,1984-12-13T00:00:00Z,Carthage,"évêque catholique, évêque titulaire, vicaire apostolique, archevêque catholique, archevêque titulaire"
Robin Kåss,1977-01-10T00:00:00Z,Dublin,,,"secrétaire d'État norvégien, Vararepresentant, Q47745890"
Michel Menon,1948-06-25T00:00:00Z,,,,"maire de Mazerier, conseiller municipal de Mazerier, conseiller communautaire de Saint-Pourçain Sioule Limagne"
Martin Michel Charles Gaudin,1756-01-19T00:00:00Z,Saint-Denis,1841-11-05T00:00:00Z,Gennevilliers,"ministre des Finances, gouverneur de la Banque de France, Pair de France, député de l'Aisne"
Robin Meade,1969-04-21T00:00:00Z,New London,,,
Olivier Moreau-Néret,1892-01-29T00:00:00Z,8e arrondissement de Paris,1983-04-20T00:00:00Z,8e arrondissement de Paris,
Pierre Moreau,1957-12-12T00:00:00Z,Verchères,,,"député de l'Assemblée nationale du Québec, ministère des Affaires municipales et de l'Habitation"
Q64761916,,,1440-10-24T00:00:00Z,,"évêque catholique, évêque diocésain"
Q42144572,,,,,
Jacques Papin de La Clergerie,1784-04-26T00:00:00Z,Nantes,1871-07-18T00:00:00Z,Ancenis,maire d’Ancenis
Jean Pariseau,1924-11-03T00:00:00Z,,2006-09-24T00:00:00Z,,
Pierre Parlant,1957-07-20T00:00:00Z,,,,
Jean Paulmier de Courtonne,1650-01-01T00:00:00Z,,1673-01-01T00:00:00Z,,
Pierre Paulmier,,,,,maire de Tours
Jean Porcher,1892-01-25T00:00:00Z,Paris,1966-04-26T00:00:00Z,Paris,
Louis Querné,1920-04-24T00:00:00Z,Morlaix,1944-01-01T00:00:00Z,Sovetsk,
Louis Querné,1920-04-24T00:00:00Z,Morlaix,1944-01-01T00:00:00Z,Sovetsk,
Pierre Sandrin,1490-01-01T00:00:00Z,Paris,1561-01-01T00:00:00Z,Italie,
Jean-Remy de Chestret,1739-01-01T00:00:00Z,Liège,1809-01-01T00:00:00Z,Paris,député
Jean Pillement,1728-05-24T00:00:00Z,Lyon,1808-04-26T00:00:00Z,Lyon,peintre de cour
Pierre Dumoulin-Borie,1808-02-20T00:00:00Z,Beynat,1838-11-24T00:00:00Z,Đồng Hới,"évêque catholique, évêque titulaire, vicaire apostolique"
Jean-Maurice Rouquette,1931-01-01T00:00:00Z,Arles,2019-01-22T00:00:00Z,Arles,président
Henri Rousseau,1844-05-21T00:00:00Z,Laval,1910-09-02T00:00:00Z,Paris,
Jean Séverin,1911-08-21T00:00:00Z,Montreuillon,1998-03-06T00:00:00Z,Talant,
Antoine Triboulet,,,,,
Robert Ier de Troyes,0900-01-01T00:00:00Z,,0886-01-01T00:00:00Z,Paris,
Jean Valet,1923-03-05T00:00:00Z,Ixelles,,,
Jean-Marie Vianney,1786-05-08T00:00:00Z,Dardilly,1859-08-04T00:00:00Z,Ars-sur-Formans,curé
Guillaume du Boisbaudry,1967-03-08T00:00:00Z,,,,directeur de la rédaction
Pierre Le Breton,1805-04-25T00:00:00Z,Pléven,1886-05-21T00:00:00Z,Le Puy-en-Velay,"évêque catholique, évêque diocésain"
Michel Boileau,1960-01-01T00:00:00Z,,,,
Jean Cholet,1250-01-01T00:00:00Z,Nointel,1293-08-02T00:00:00Z,Rome,"cardinal, évêque catholique"
Jean de Bailleul,1210-01-01T00:00:00Z,,1268-10-25T00:00:00Z,,gardien de l'Écosse
Q46482264,1850-01-01T00:00:00Z,,1925-01-01T00:00:00Z,,
Q19357679,,,,,
Jean Bruyant,1945-11-09T00:00:00Z,,,,"maire de Bailleul-lès-Pernes, conseiller municipal de Bailleul-lès-Pernes, conseiller communautaire du Ternois"
Jean Bruyant,1945-11-09T00:00:00Z,,,,"maire de Bailleul-lès-Pernes, conseiller municipal de Bailleul-lès-Pernes, conseiller communautaire du Ternois"
Pierre Gironde,,,,,
Alexandre Lancelot,,,,,
Jean de Metz,1388-01-01T00:00:00Z,,,,
Robert Michel,1923-03-02T00:00:00Z,Peoria,2017-02-17T00:00:00Z,comté d'Arlington,représentant des États-Unis
Jean Paulmier de Courtonne,1650-01-01T00:00:00Z,,1673-01-01T00:00:00Z,,
Pierre de Poitiers,1130-01-01T00:00:00Z,Poitiers,1215-01-01T00:00:00Z,Paris,
Jean Raulin,1443-01-01T00:00:00Z,Toul,1514-01-01T00:00:00Z,,
Richard Thomas Walker Duke,1822-06-06T00:00:00Z,Charlottesville,1898-07-02T00:00:00Z,Charlottesville,"représentant des États-Unis, représentant de la Virginie à la Chambre des représentants des États-Unis"
Pierre de Boulogne,,,,,
Q55626352,,,,,
Q64009679,,,1501-07-13T00:00:00Z,,"président, chanoine"
Jean Waring,1930-01-01T00:00:00Z,,,,
Jan Asselyn,1610-01-01T00:00:00Z,Dieppe,1652-01-01T00:00:00Z,Amsterdam,
Jan Asselyn,1610-01-01T00:00:00Z,Dieppe,1652-01-01T00:00:00Z,Amsterdam,
Daniel Aubert,1946-07-04T00:00:00Z,,,,"maire de Saint-Antoine-du-Queyret, conseiller municipal de Saint-Antoine-du-Queyret, conseiller communautaire de rurales de l'Entre-deux-Mers"
Michel Becquet,1954-02-04T00:00:00Z,Limoges,,,
Pierre Bélinguier,1870-06-24T00:00:00Z,Villefranche-de-Lauragais,1926-09-08T00:00:00Z,Renneville,"maire, député"
Alexis Simon Belle,1674-01-12T00:00:00Z,Paris,1734-11-21T00:00:00Z,Paris,peintre de cour
Alexis Simon Belle,1674-01-12T00:00:00Z,Paris,1734-11-21T00:00:00Z,Paris,peintre de cour
Q68864040,,,,,"évêque auxiliaire, évêque catholique, évêque titulaire"
Jean Boivin,1663-09-01T00:00:00Z,Montreuil-l'Argillé,1726-10-29T00:00:00Z,Paris,fauteuil 21 de l'Académie française
Martin Bricelj,1971-01-01T00:00:00Z,Ljubljana,,,
Q61887836,,,,,
"Guillaume de Chastillon, sieur de La Tour",1550-01-01T00:00:00Z,,1610-05-24T00:00:00Z,Caen,
Nicolas Chevalier,1562-01-01T00:00:00Z,,1630-01-01T00:00:00Z,,
Nicolas Chevalier,1562-01-01T00:00:00Z,,1630-01-01T00:00:00Z,,
Pierre Cordier,1972-05-27T00:00:00Z,Charleville-Mézières,,,"député, maire de Neufmanil, conseiller départemental des Ardennes"
Jean Courtois,1912-08-21T00:00:00Z,Damparis,1992-08-15T00:00:00Z,,"député, maire de Damparis"
Jean-Denis Cochin,1726-01-01T00:00:00Z,Paris,1783-06-03T00:00:00Z,Paris,curé
Jean-Denis Cochin,1726-01-01T00:00:00Z,Paris,1783-06-03T00:00:00Z,Paris,curé
Jeanne Doucet de Suriny,1762-01-01T00:00:00Z,Lyon,1806-01-01T00:00:00Z,Paris,
Phil,1964-08-30T00:00:00Z,Marche-en-Famenne,2012-04-18T00:00:00Z,Liège,
Jean-Emery Gagnon,1953-01-01T00:00:00Z,,,,
Pierre de Fontenay,,,1499-06-12T00:00:00Z,,"évêque catholique, évêque diocésain"
Pierre de Fontenay,,,1499-06-12T00:00:00Z,,"évêque catholique, évêque diocésain"
Jean Gontier,1942-01-26T00:00:00Z,,,,
Gilles Jolain,1957-02-03T00:00:00Z,,,,"maire d'Onville, conseiller municipal d'Onville, conseiller communautaire de Mad et Moselle"
Jacques-Julien-Émile Patria,1915-09-14T00:00:00Z,Fontaine-Chaalis,2001-08-11T00:00:00Z,,"évêque auxiliaire, évêque catholique, évêque titulaire, évêque diocésain"
Q76316379,,,,,
Nicolas Laurens-Humblot,1788-10-14T00:00:00Z,Villefranche-sur-Saône,1853-08-31T00:00:00Z,Paris,"maire, député, Pair de France"
Nicolas Le Camus de Mézières,1721-03-26T00:00:00Z,Paris,1789-07-27T00:00:00Z,Paris,
Q76117100,,,,,
Pierre Paulmier,,,,,maire de Tours
Pierre Robert,1814-01-28T00:00:00Z,Rouen,1904-04-28T00:00:00Z,Fécamp,"député, sénateur"
Guillaume Rose,,,,,"membre du Conseil national de Monaco, suppléant de l'Assemblée parlementaire du Conseil de l'Europe"
Jacques-Rose Récamier,1751-03-10T00:00:00Z,Lyon,1830-03-29T00:00:00Z,Paris,Régent de la Banque de France
Antoine Rousseau,1678-01-01T00:00:00Z,Paris,1749-01-01T00:00:00Z,Paris,
Jacques de Saulx,1620-01-01T00:00:00Z,,1683-01-01T00:00:00Z,,
Jean Tassin,1943-05-07T00:00:00Z,,,,"maire de Gouvernes, conseiller municipal de Gouvernes, conseiller communautaire de Marne et Gondoire"
Robert Yonover,1959-01-01T00:00:00Z,,,,
Jean Avis Loysel,1450-01-01T00:00:00Z,Beauvais,,,"régent, doyen, Premier médecin du roi"
Jean Fusoris,1365-01-01T00:00:00Z,Giraumont,1436-01-01T00:00:00Z,,
Simon de Phares,1444-08-09T00:00:00Z,Châteaudun,,,
Thomas de Pisan,1350-01-01T00:00:00Z,,1387-01-01T00:00:00Z,,
Thomas Aubert,1450-01-01T00:00:00Z,Rouen,,,
Philippe Baillet,1951-01-21T00:00:00Z,,,,
Jean de Brienne,1158-01-01T00:00:00Z,,1237-03-30T00:00:00Z,Constantinople,roi
Jean-Denis Cochin,1726-01-01T00:00:00Z,Paris,1783-06-03T00:00:00Z,Paris,curé
Q17130928,1609-01-01T00:00:00Z,,1660-10-09T00:00:00Z,,
Pierre Germain Dartonne,1751-09-14T00:00:00Z,Gien,1829-06-26T00:00:00Z,,député
Q62640034,,,,,
Jean de La Barre,t1777587731,,1534-03-01T00:00:00Z,,
Jean de La Baume,1350-01-01T00:00:00Z,t1757149657,1435-01-01T00:00:00Z,t1757149662,"lieutenant-général, maréchal de France"
Jean de La Grange,1325-01-01T00:00:00Z,France,1402-04-01T00:00:00Z,Avignon,"évêque, abbé"
Jean-Lambert Tallien,1767-01-23T00:00:00Z,Paris,1820-11-16T00:00:00Z,Paris,"député, député de la Convention nationale, membre du Conseil des Cinq-Cents"
Jean II de France,1319-04-24T00:00:00Z,Le Mans,1364-04-16T00:00:00Z,Londres,"duc de Normandie, roi de France"
Jean Royer de Prade,1624-01-01T00:00:00Z,,1680-01-01T00:00:00Z,,
Nicolas-Marcel Raingo,1746-02-09T00:00:00Z,Mons,1823-12-08T00:00:00Z,,
Adam Martin Wyant,1869-09-15T00:00:00Z,Montgomeryville,1935-01-05T00:00:00Z,Greensburg,représentant des États-Unis
Adam Martin Wyant,1869-09-15T00:00:00Z,Montgomeryville,1935-01-05T00:00:00Z,Greensburg,représentant des États-Unis
Gilles Morillon,1953-01-01T00:00:00Z,,,,
Robert Morillon,1910-01-13T00:00:00Z,Marne,2007-01-26T00:00:00Z,Épernay,député
Thomas-Philippe d’Hénin-Létard d’Alsace-Boussut de Chimay,1679-11-12T00:00:00Z,Bruxelles,1759-01-05T00:00:00Z,Malines,"cardinal, archevêque catholique"
Pierre de Pise,0744-01-01T00:00:00Z,Pise,,Lombardie,
Philippe Roger,1955-08-17T00:00:00Z,,,,"maire de Murs, conseiller municipal de Murs"
