nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions
Emmanuel Levy,1971-02-26T00:00:00Z,Paris,,,
Guillaume Depardieu,1971-04-07T00:00:00Z,Paris,2008-10-13T00:00:00Z,Garches,
Lââm,1971-09-01T00:00:00Z,Paris,,,
Nathanaël de Rincquesen,1972-03-09T00:00:00Z,Paris,,,
Judith Godrèche,1972-03-23T00:00:00Z,Paris,,,
Elsa Lunghini,1973-05-20T00:00:00Z,Paris,,,
Thomas Sotto,1973-07-02T00:00:00Z,Paris,,,
Ary Abittan,1974-01-31T00:00:00Z,15e arrondissement de Paris,,,
Julie Andrieu,1974-02-27T00:00:00Z,Paris,,,
Matthieu Delormeau,1974-03-05T00:00:00Z,14e arrondissement de Paris,,,
Benoît Magimel,1974-05-11T00:00:00Z,Paris,,,
Romain Duris,1974-05-28T00:00:00Z,Paris,,,
Cyril Hanouna,1974-09-23T00:00:00Z,Paris,,,
Elsa Fayer,1974-11-09T00:00:00Z,Paris,,,
Marie Drucker,1974-12-03T00:00:00Z,Paris,,,
Thomas Bangalter,1975-01-03T00:00:00Z,Paris,,,
Vincent Niclo,1969-01-06T00:00:00Z,Paris,,,
ʿAbd Al-Malik,0646-01-01T00:00:00Z,Médine,0705-10-08T00:00:00Z,Damas,"Omeyyades, Q67497236"
Jamel Debbouze,1975-06-18T00:00:00Z,Paris,,,
Julia Vignali,1975-07-13T00:00:00Z,Paris,,,
Patricia Spehar,1975-09-13T00:00:00Z,Paris,,,
Marion Cotillard,1975-09-30T00:00:00Z,Paris,,,
Vincent Desagnat,1976-03-09T00:00:00Z,France,,,
Céline Lebrun,1976-08-25T00:00:00Z,18e arrondissement de Paris,,,
Virginie Ledoyen,1976-11-15T00:00:00Z,Paris,,,
Estelle Denis,1976-12-06T00:00:00Z,Paris,,,
Koxie,1977-02-26T00:00:00Z,Paris,,,
Christina Goh,1977-07-14T00:00:00Z,Paris,,,
Noémie de Lattre,1977-08-11T00:00:00Z,Paris,,,
Virginie Guilhaume,1977-11-30T00:00:00Z,Paris,,,
Yael Naim,1978-02-06T00:00:00Z,Paris,,,
Aurélie Saada,1978-08-04T00:00:00Z,Paris,,,
Thomas N'Gijol,1978-10-30T00:00:00Z,Paris,,,
Noom Diawara,1978-12-26T00:00:00Z,Paris,,,
Max Boublil,1979-05-17T00:00:00Z,Paris,,,
Caroline Ithurbide,1979-07-21T00:00:00Z,Paris,,,
Frédéric de Lanouvelle,1979-09-09T00:00:00Z,Paris,,,
Larusso,1979-10-11T00:00:00Z,Paris,,,
Dot Pierson,1979-10-27T00:00:00Z,Paris,,,
Burchard II de Souabe,0883-01-01T00:00:00Z,t1791276396,0926-05-04T00:00:00Z,Novare,duc de Souabe
Eva Greenslit Anderson,1889-01-01T00:00:00Z,,1972-01-01T00:00:00Z,,député à la Chambre des représentants de l'État de Washington
Amelle Chahbi,1980-08-21T00:00:00Z,Paris,,,
Julie Zenatti,1981-02-05T00:00:00Z,Paris,,,
