,nom,lon,lat,inception,height
181,Église d'Auteuil,2.26902,48.847169,,
182,église Notre-Dame-de-Bonne-Nouvelle,2.349722,48.869444,1830-03-25T00:00:00Z,
183,cimetière de Picpus,2.4002777777778,48.843888888889,1640-01-01T00:00:00Z,
184,square Louis-XIII,2.36549,48.8557,1682-01-01T00:00:00Z,
185,Étienne Marcel,2.3486698400444,48.863494658977,,
189,pont de Bir-Hakeim,2.2877777777778,48.855555555556,1905-01-01T00:00:00Z,
193,Abbesses,2.3386111111111,48.884444444444,,
194,Folies Bergère,2.345,48.87416667,1869-01-01T00:00:00Z,
195,église de la Madeleine,2.3241666666667,48.87,1845-01-01T00:00:00Z,
196,abbaye de Penthemont,2.32194444,48.85638889,1201-01-01T00:00:00Z,
200,abbaye de Saint-Germain-des-Prés,2.334444,48.853889,0501-01-01T00:00:00Z,
201,pont Neuf,2.3416166666667,48.857447222222,1578-01-01T00:00:00Z,
202,Pigalle,2.3375,48.882222222222,,
206,théâtre de Paris,2.331612,48.878405,1891-01-01T00:00:00Z,
207,hôtel de Chalon-Luxembourg,2.35694444,48.85480556,,
208,théâtre de la Madeleine,2.32038,48.8709,1924-01-01T00:00:00Z,
209,pont Alexandre-III,2.31361,48.86361,1900-01-01T00:00:00Z,
213,institut Pasteur,2.3116666666667,48.84,1887-01-01T00:00:00Z,
217,grande mosquée de Paris,2.355,48.841944444444,1926-01-01T00:00:00Z,
218,Bateau-Lavoir,2.3380222222222,48.8859,,
219,passage Ben-Aïad,2.34611213,48.86607691,,
220,lycée Saint-Louis,2.34166667,48.84916667,,
221,siège du Parti communiste français,2.3716666666667,48.877777777778,,
222,Bastille,2.3691806050656,48.852841730967,,
231,Mirabeau,2.27171,48.84674,,
232,Avron,2.3975,48.85194,,
236,église Saint-Merri,2.350556,48.858889,,
237,église Saint-François-Xavier de Paris,2.3133333333333,48.850555555556,1873-01-01T00:00:00Z,
238,hôtel de Lauzun,2.3591666666667,48.851666666667,1658-01-01T00:00:00Z,
239,pont d'Iéna,2.292222,48.859722,1814-01-01T00:00:00Z,
243,maison de Balzac,2.2808333333333,48.855277777778,1949-01-01T00:00:00Z,
247,Rome,2.32194,48.8825,,
251,Jaurès,2.37083,48.88278,,
255,église Saint-Médard,2.350484,48.83992,,
256,jardin d'agronomie tropicale,2.466,48.833,1899-01-01T00:00:00Z,
257,maison de la Radio,2.27802778,48.85255556,,
258,Nation,2.3959057445654,48.848465750553,,
259,église Saint-Germain-l'Auxerrois,2.341111,48.859444,1220-01-01T00:00:00Z,
260,hôtel Radix de Sainte-Foix,2.32791667,48.87022222,,
261,tour Saint-Jacques,2.3487777777778,48.857763888889,,
262,fontaine de Jarente,2.36344444,48.85572222,1783-01-01T00:00:00Z,
263,La Coupole,2.32806,48.8424,,
264,galerie de Paléontologie et d'Anatomie comparée,2.356012,48.841086,1898-01-01T00:00:00Z,
265,Victor Hugo,2.285,48.869722222222,,
266,Louvre - Rivoli,2.3410004902554,48.860538294657,,
267,Palais Royal - Musée du Louvre,2.3358166119483,48.862846821355,,
268,théâtre du Châtelet,2.3463888888889,48.857777777778,1862-01-01T00:00:00Z,
269,institut catholique de Paris,2.3295,48.8478,1875-01-01T00:00:00Z,
273,église Saint-Nicolas-des-Champs,2.353889,48.865278,,
274,cathédrale Saint-Alexandre-Nevsky,2.3019916666667,48.877558333333,1847-01-01T00:00:00Z,
275,gare du Nord,2.354703078366,48.879965443289,,
276,prison Saint-Lazare,2.35444444,48.87555556,,
277,Villiers,2.31472,48.88111,1903-01-01T00:00:00Z,
281,basilique Sainte-Clotilde,2.3191666666667,48.858333333333,1857-11-30T00:00:00Z,
282,hôtel Lutetia,2.3275,48.851111111111,1910-01-01T00:00:00Z,
283,Le Vagenende,2.3375,48.85294,,
284,Saint-Lazare,2.3261111111111,48.875555555556,,
288,église Saint-Pierre-de-Montrouge,2.3270277777778,48.828638888889,1872-01-01T00:00:00Z,
289,Place d'Italie,2.35556,48.83139,,
290,Louis Blanc,2.36472,48.88111,,
291,église Notre-Dame-d'Auteuil,2.2694444444444,48.847222222222,1892-01-01T00:00:00Z,
292,passage Brady,2.3552777777778,48.871125,1828-01-01T00:00:00Z,
293,synagogue de la rue Pavée,2.3604861111111,48.855972222222,1914-01-01T00:00:00Z,
294,synagogue Nazareth,2.360128,48.866853,1852-01-01T00:00:00Z,
298,Alexandre Dumas,2.39472,48.85583,,
299,église Saint-Nicolas-du-Chardonnet,2.3502777777778,48.849166666667,1703-01-01T00:00:00Z,
300,Raspail,2.3305830968411,48.838963714316,,
301,Porte d'Auteuil,2.25889,48.84806,,
302,Pasteur,2.3127777777778,48.842777777778,,
303,musée d'Ennery,2.2813888888889,48.871666666667,1908-01-01T00:00:00Z,
304,église Saint-Jean de Montmartre,2.3378833333333,48.884105555556,1904-01-01T00:00:00Z,
305,église Notre-Dame-des-Blancs-Manteaux,2.357778,48.858611,1690-01-01T00:00:00Z,
306,Saint-Michel,2.3434684519689,48.853287581727,,
310,fontaine Saint-Sulpice,2.33333333,48.85083333,,
311,église Saint-Laurent,2.3583111111111,48.874847222222,,
315,église Saint-Leu-Saint-Gilles,2.349722,48.862778,1235-01-01T00:00:00Z,
316,église Sainte-Élisabeth-de-Hongrie,2.360278,48.865833,1628-01-01T00:00:00Z,
317,école Massillon,2.3623395,48.85175664,,
318,hôtel Gouthière,2.358313,48.871702,,
319,hôtel Gaillard,2.31041667,48.88194444,,
320,hôtel Salé,2.36222222,48.85991667,,
321,hôtel de Rosanbo,2.358696,48.869059,,
322,hôtel de Saint-Aignan,2.355278,48.861111,,
323,hôtel de Sechtré,2.35852778,48.86916667,,
324,hôtel Jeanne d'Albret,2.36086696,48.85753465,,
325,salle Pleyel,2.3010361111111,48.876994444444,1839-01-01T00:00:00Z,
326,passage du Bourg-l'Abbé,2.35055556,48.86452778,,
327,passage du Grand-Cerf,2.34925,48.864814,1825-01-01T00:00:00Z,
328,église Saint-Séverin,2.345556,48.851944,,
329,Monceau,2.3083333333333,48.88,,
333,pont Royal,2.32972,48.86,,
337,abbaye Sainte-Geneviève de Paris,2.3478333333333,48.845888888889,,
341,musée national Eugène-Delacroix,2.3354,48.8546,1971-01-01T00:00:00Z,
342,Sentier,2.346387,48.867569,1904-01-01T00:00:00Z,
343,Philippe Auguste,2.39083,48.85806,,
347,Richard-Lenoir,2.37194,48.85972,,
348,La Ruche,2.2969444444444,48.8325,,
349,Le Grand Rex,2.347725,48.870502777778,,
350,Le Louxor,2.3497222222222,48.866666666667,,
351,Le Train bleu,2.3733333333333,48.845,1901-01-01T00:00:00Z,
355,palais Brongniart,2.3408277777778,48.869169444444,1825-11-01T00:00:00Z,
356,collège néerlandais,2.3305888888889,48.821647222222,,
357,ménagerie du Jardin des plantes,2.360325,48.845446,1794-12-11T00:00:00Z,
358,théâtre Le Ranelagh,2.27786,48.85447,1900-01-01T00:00:00Z,
359,mire du Nord,2.33654,48.8876,,
360,cathédrale américaine de Paris,2.3008333333333,48.8675,1881-01-01T00:00:00Z,
361,hôtel de la Monnaie,2.3391666666667,48.856944444444,,
365,hôtel de Vitry,2.36667,48.8561,,
366,fontaine Maubuée,2.3512944444444,48.861044444444,,
367,église du Val-de-Grâce,2.3419444444444,48.840555555556,1667-01-01T00:00:00Z,
368,Élysée Montmartre,2.3433333333333,48.883055555556,1807-01-01T00:00:00Z,
369,église Saint-Ambroise,2.37556389,48.86106667,1910-12-07T00:00:00Z,
370,thermes de Cluny,2.3433333333333,48.850833333333,,
371,théâtre du Vieux-Colombier,2.3302944444444,48.851797222222,,
372,temple de l'Humanité,2.36194,48.8581,,
373,immeuble au 3 square Rapp,2.30129,48.8588,,
374,abbaye de Port-Royal de Paris,2.3384,48.838763,1566-01-01T00:00:00Z,
378,anciens magasins de vente des faïenceries de Choisy-le-Roi,2.35373611,48.87485,,
379,annexe du siège central du Crédit lyonnais,2.338017,48.869486,,
380,aqueduc Médicis,2.3498,48.7495,,
384,arsenal de Paris,2.3635277777778,48.850277777778,,
385,ateliers Berthier,2.310078,48.89339,,
386,Au Planteur,2.3473,48.86665,,
387,Au roi de la bière,2.32555556,48.87527778,,
388,bastion no 1,2.38972222,48.82861111,,
389,Le Grand Véfour,2.3379,48.8661,,
