,nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,placeOfBurialLabel,fatherLabel,motherLabel,spouses,startTime,endTime
100,Ragnacaire,0500-01-01T00:00:00Z,,0509-01-01T00:00:00Z,,,,,,,
101,Gennobaud,0400-01-01T00:00:00Z,,0388-01-01T00:00:00Z,,,,,,,
103,Childéric Ier,0436-01-01T00:00:00Z,t1776591244,0481-01-01T00:00:00Z,t1776591244,Tournai,Mérovée,,Basine de Thuringe,,
104,Brunehaut,t1765527729,Mérida,0613-01-01T00:00:00Z,Mérida,,Athanagilde Ier,Goswinthe,"Mérovée, Sigebert Ier",,
105,Hildegarde,0758-01-01T00:00:00Z,Souabe,0783-05-04T00:00:00Z,Souabe,abbaye de Saint-Arnould,Gérold Ier de Vintzgau,Emma d'Alémanie,Charlemagne,,
106,Chilpéric Ier,0537-01-01T00:00:00Z,t1623154973,0584-09-29T00:00:00Z,t1623154973,abbaye de Saint-Germain-des-Prés,Clotaire Ier,Arégonde,"Audovère, Galswinthe, Frédégonde",,
107,Caribert Ier,0520-01-01T00:00:00Z,t1652299170,0567-01-01T00:00:00Z,t1652299170,,Clotaire Ier,Ingonde,"Théodechilde, Méroflède, Marcova, Ingeberge",,
108,Charles le Jeune,0772-01-01T00:00:00Z,t1780198527,0811-12-08T00:00:00Z,t1780198527,,Charlemagne,Hildegarde,,,
109,Charles de Provence,0845-01-01T00:00:00Z,t1179998082,0863-01-29T00:00:00Z,t1179998082,,Lothaire Ier,Ermengarde de Tours,,,
110,Clovis III,0670-01-01T00:00:00Z,t1554304559,0676-01-01T00:00:00Z,t1554304559,,Clotaire III,,,,
111,Hugues de France,1007-01-01T00:00:00Z,,1026-01-01T00:00:00Z,,Compiègne,Robert II de France,Constance d'Arles,,,
113,Clodéric,0485-01-01T00:00:00Z,,0508-01-01T00:00:00Z,,,Sigebert le Boiteux,,,,
114,Sunnon,0400-01-01T00:00:00Z,,0400-01-01T00:00:00Z,,,,,,,
115,Q11921573,,,,,,,,,,
116,Q61188387,,,,,,,,,,
117,Waldrade,0530-01-01T00:00:00Z,t1754001998,0570-01-01T00:00:00Z,t1754001998,,Waccho,Q19891002,"Garibald Ier de Bavière, Théodebald, Clotaire Ier",,
118,Dagobert Ier,0611-01-01T00:00:00Z,t1670898845,0639-01-22T00:00:00Z,t1670898845,basilique Saint-Denis,Clotaire II,Bertrude,"Berchilde, Wulfégonde, Ragnétrude, Gomatrude, Nantilde",,
119,Arnulf de Carinthie,0850-01-01T00:00:00Z,t1762582700,0899-12-12T00:00:00Z,t1762582700,Q19309358,Carloman de Bavière,Liutswinde,Oda,,
120,Frédégonde,0545-01-01T00:00:00Z,Montdidier,0597-12-10T00:00:00Z,Montdidier,basilique Saint-Denis,,,Chilpéric Ier,,
121,Pépin d'Italie,0777-01-01T00:00:00Z,t1774066076,0810-07-12T00:00:00Z,t1774066076,Milan,Charlemagne,Hildegarde,,,
122,Caribert II,0618-01-01T00:00:00Z,t1689588280,0632-04-08T00:00:00Z,t1689588280,,Clotaire II,Sichilde,,,
123,Sigebert III,0630-01-01T00:00:00Z,t1611686113,0656-02-04T00:00:00Z,t1611686113,,Dagobert Ier,Ragnétrude,Chimnechilde,,
124,Pépin II d'Aquitaine,0823-01-01T00:00:00Z,t1777773193,t1777773199,t1777773193,,Pépin Ier d'Aquitaine,Ingeltrude ou Ringarde,,,
125,Thierry,t15270230,t15270228,t15270229,t15270228,,Childéric III,,,,
126,Clotilde,0475-01-01T00:00:00Z,Lyon,0545-06-03T00:00:00Z,Lyon,cathédrale Notre-Dame de Paris,Chilpéric II,,Clovis Ier,,
127,Pépin le Bossu,0770-01-01T00:00:00Z,,0811-01-01T00:00:00Z,,,Charlemagne,Himiltrude,,,
128,Clotaire III,0650-01-01T00:00:00Z,t1777669356,0673-01-01T00:00:00Z,t1777669356,basilique Saint-Denis,Clovis II,Bathilde,,,
129,Sigebert II,0602-01-01T00:00:00Z,t1589412189,0613-10-13T00:00:00Z,t1589412189,,Thierry II,,,,
130,Cararic,0500-01-01T00:00:00Z,,0509-01-01T00:00:00Z,,,,,,,
132,Théodomir,0400-01-01T00:00:00Z,,,,,Richomer,,,,
133,Ascaric,0300-01-01T00:00:00Z,,0306-01-01T00:00:00Z,,,,,,,
134,Nebigast,,,,,,,,,,
135,Louis IV l'Enfant,0893-07-01T00:00:00Z,Altötting,0911-10-04T00:00:00Z,Altötting,Q19309358,Arnulf de Carinthie,Oda,t1774443022,,
136,Louis III le Jeune,0835-01-01T00:00:00Z,t1462480740,0882-01-24T00:00:00Z,t1462480740,abbaye de Lorsch,Louis II le Germanique,Emma de Bavière,Liutgarde de Saxe,,
137,Childebert Ier,0497-01-01T00:00:00Z,Reims,0558-12-13T00:00:00Z,Reims,basilique Saint-Denis,Clovis Ier,Clotilde,Ultrogothe,,
139,Clodion le Chevelu,0393-01-01T00:00:00Z,t1560140345,0448-01-01T00:00:00Z,t1560140345,,Théodomir,,,,
140,Lothaire II,0835-01-01T00:00:00Z,t1780224668,0869-08-12T00:00:00Z,t1780224668,Q1670729,Lothaire Ier,Ermengarde de Tours,Teutberge,,
141,Théodebert II,0585-01-01T00:00:00Z,t352240511,0612-01-01T00:00:00Z,t352240511,,Childebert II,Faileube,"Théodechilde, Blichilde",,
142,Gondovald,0600-01-01T00:00:00Z,t1725712643,0585-03-01T00:00:00Z,t1725712643,,Clotaire Ier,Waldrade,,,
143,Q848186,0671-01-01T00:00:00Z,,0679-01-01T00:00:00Z,,,Dagobert II,,,,
145,Suavegothe,t1680024964,t1680024959,t1680024960,t1680024959,,Sigismond,Q12289430,Thierry Ier,,
151,Judith de Bavière,0797-01-01T00:00:00Z,t1657730630,0843-04-23T00:00:00Z,t1657730630,Centre-Val de Loire,Welf Ier,Heilwig,Louis le Pieux,,
152,Théodebert Ier,0500-01-01T00:00:00Z,t1774564747,0548-01-01T00:00:00Z,t1774564747,,Thierry Ier,Ne,"Deoteria, Wisigarde",,
153,Childebert III l'Adopté,0650-01-01T00:00:00Z,t1777639808,0662-01-01T00:00:00Z,t1777639808,,Grimoald Ier,,,,
154,Sigebert Ier,0535-01-01T00:00:00Z,t1777669362,0575-01-01T00:00:00Z,t1777669362,,Clotaire Ier,Ingonde,Brunehaut,,
155,Charles l'Enfant,0847-01-01T00:00:00Z,Francfort-sur-le-Main,0866-10-03T00:00:00Z,Francfort-sur-le-Main,Centre-Val de Loire,Charles II le Chauve,Ermentrude d'Orléans,,,
156,Mérogaise,0300-01-01T00:00:00Z,,0306-01-01T00:00:00Z,,,,,,,
158,Boson de Provence,0844-01-01T00:00:00Z,t1545842460,0887-01-15T00:00:00Z,t1545842460,,Bivin,Q61717067,Ermengarde,,
159,Henri Ier,0876-01-01T00:00:00Z,Saxe,0936-07-07T00:00:00Z,Saxe,abbaye de Quedlinbourg,Otton Ier de Saxe,Hedwige,"Q3555663, Mathilde de Ringelheim",,
160,Galswinthe,0540-01-01T00:00:00Z,Tolède,0568-01-01T00:00:00Z,Tolède,,Athanagilde Ier,Goswinthe,Chilpéric Ier,,
161,Bathilde,0626-01-01T00:00:00Z,t1774520309,0680-01-30T00:00:00Z,t1774520309,,,,Clovis II,,
162,Gontran,0532-01-01T00:00:00Z,Soissons,0593-03-30T00:00:00Z,Soissons,,Clotaire Ier,Ingonde,"Marcatrude, Austregilde",,
164,Bernard d'Italie,0797-01-01T00:00:00Z,t1780316954,0818-04-21T00:00:00Z,Hauts-de-France,Lombardie,Pépin d'Italie,Chrotais,Cunégonde,,
168,Chilpéric,0700-01-01T00:00:00Z,t1394245358,0632-01-01T00:00:00Z,t1394245358,,Caribert II,,,,
