nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Jean Renart,1175-01-01T00:00:00Z,Île-de-France,1300-01-01T00:00:00Z,,,1175.0,1300.0
Guillaume de Montfort,1400-01-01T00:00:00Z,Dinan,1432-09-27T00:00:00Z,Sienne,"cardinal, évêque catholique, évêque diocésain",1400.0,1432.0
Jean de Montfort,1300-01-01T00:00:00Z,,1283-11-27T00:00:00Z,,,1300.0,1283.0
Jacques de Beaumont (chambellan),1420-01-01T00:00:00Z,,1492-01-01T00:00:00Z,,,1420.0,1492.0
Jean Belles-mains,1120-01-01T00:00:00Z,Canterbury,1204-01-01T00:00:00Z,,archevêque,1120.0,1204.0
Q18916536,1423-01-01T00:00:00Z,,1481-01-01T00:00:00Z,,,1423.0,1481.0
Jean de Gisors,1133-01-01T00:00:00Z,,1220-01-01T00:00:00Z,,,1133.0,1220.0
Jean de Cambrai,1350-01-01T00:00:00Z,Roupy,1438-01-01T00:00:00Z,Bourges,,1350.0,1438.0
Jean de Villiers,1300-01-01T00:00:00Z,France,1294-01-01T00:00:00Z,Chypre,Grands maîtres de l'ordre de Saint-Jean de Jérusalem,1300.0,1294.0
Nicolas le Petit,1322-01-01T00:00:00Z,,1358-04-23T00:00:00Z,Hongrie,,1322.0,1358.0
Jean de Rouen,1480-01-01T00:00:00Z,France,1580-01-01T00:00:00Z,Portugal,,1480.0,1580.0
Pierre Duèze,1250-01-01T00:00:00Z,Cahors,1326-01-01T00:00:00Z,Avignon,,1250.0,1326.0
Alain Chartier,1392-01-01T00:00:00Z,Bayeux,1430-03-29T00:00:00Z,Avignon,,1392.0,1430.0
Nicolas Flamel,1330-01-01T00:00:00Z,Pontoise,1418-03-31T00:00:00Z,Paris,,1330.0,1418.0
Guillaume de Sens,1200-01-01T00:00:00Z,Sens,1180-08-11T00:00:00Z,Canterbury,,1200.0,1180.0
