nom,dateOfBirth,placeOfBirthLabel,dateOfDeath,placeOfDeathLabel,positions,birthYear,deathYear
Giovanni Colonna,1295-01-01T00:00:00Z,Rome,1348-07-11T00:00:00Z,Avignon,"cardinal, évêque catholique",1295.0,1348.0
Louis Ier de Bar,,France,1430-07-02T00:00:00Z,Varennes-en-Argonne,"cardinal, évêque catholique, évêque diocésain, évêque de Verdun, évêque de Châlons-en-Champagne, évêque de Langres, évêque de Poitiers",,1430.0
Pierre de Belleperche,1230-01-01T00:00:00Z,Villeneuve-sur-Allier,1308-01-17T00:00:00Z,Paris,évêque,1230.0,1308.0
Guillaume Bertrand,,,1356-05-19T00:00:00Z,,évêque,,1356.0
Nicolas de Besse,1320-01-01T00:00:00Z,France,1369-11-05T00:00:00Z,Rome,"cardinal, évêque de Limoges",1320.0,1369.0
Jean de Blangy,,,1344-03-13T00:00:00Z,,évêque,,1344.0
Guillaume de Brosse,,,1338-01-01T00:00:00Z,,"évêque du Puy-en-Velay, archevêque de Sens, archevêque de Bourges, évêque de Meaux",,1338.0
Ferric Cassinel,1400-01-01T00:00:00Z,,1390-05-26T00:00:00Z,Nîmes,"évêque, archevêque",1400.0,1390.0
Pierre de Castelnau-Bretenoux,1298-01-01T00:00:00Z,,1333-03-18T00:00:00Z,Paris,évêque,1298.0,1333.0
Pierre de Cerisay,,,1507-01-01T00:00:00Z,,,,1507.0
Pierre de Chappes,,Villemeux-sur-Eure,1336-03-24T00:00:00Z,Avignon,"évêque, évêque catholique",,1336.0
Bertrand de Chanac,,Allassac,1401-05-21T00:00:00Z,Avignon,archevêque,,1401.0
Jean de Cherchemont,1303-01-01T00:00:00Z,Poitiers,1373-01-01T00:00:00Z,Amiens,évêque,1303.0,1373.0
Alphonse Chevrier,,,1377-07-26T00:00:00Z,,évêque,,1377.0
Gontier Col,1350-01-01T00:00:00Z,,1418-01-01T00:00:00Z,,secrétaire du roi,1350.0,1418.0
Thomas de Courcelles,1400-01-01T00:00:00Z,France,1469-10-23T00:00:00Z,Paris,cardinal,1400.0,1469.0
Michel de Creney,,Champagne,1409-10-13T00:00:00Z,,évêque,,1409.0
Jean de Cros,1301-01-01T00:00:00Z,France,1383-11-29T00:00:00Z,Avignon,"cardinal-évêque, évêque de Limoges",1301.0,1383.0
Pierre de Cros,1320-01-01T00:00:00Z,France,1388-11-24T00:00:00Z,Avignon,"archevêque, camerlingue de la Sainte Église romaine, évêque catholique",1320.0,1388.0
Robert de Dangeau,,Eure-et-Loir,1430-07-22T00:00:00Z,Nevers,évêque,,1430.0
Gilles Deschamps,1350-01-01T00:00:00Z,Rouen,1413-03-01T00:00:00Z,Rouen,"évêque catholique, grand aumônier de France",1350.0,1413.0
Jean de Murs,1290-01-01T00:00:00Z,Normandie,1350-01-01T00:00:00Z,Paris,,1290.0,1350.0
Jacques Despars,1380-01-01T00:00:00Z,,1458-01-12T00:00:00Z,,,1380.0,1458.0
Guillaume de Dormans,,,1405-10-02T00:00:00Z,,archevêque de Sens,,1405.0
Jean de Dormans,1400-01-01T00:00:00Z,France,1373-11-07T00:00:00Z,Paris,"évêque, cardinal, archevêque, Chancelier de France",1400.0,1373.0
Gilles du Perche,1150-01-01T00:00:00Z,,1180-01-15T00:00:00Z,,évêque,1150.0,1180.0
Guillaume du Perche,1150-01-01T00:00:00Z,,1226-02-18T00:00:00Z,,évêque,1150.0,1226.0
Guillaume de Flavacourt,1250-01-01T00:00:00Z,,1306-04-06T00:00:00Z,Rouen,"évêque, archevêque",1250.0,1306.0
Renaud de Forez,1226-01-01T00:00:00Z,,1270-01-01T00:00:00Z,,,1226.0,1270.0
Germain de Ganay,1450-01-01T00:00:00Z,,1520-03-18T00:00:00Z,,"évêque catholique, évêque diocésain, évêque d'Orléans, évêque de Cahors",1450.0,1520.0
Jean d'Harcourt,,,1452-06-13T00:00:00Z,,"patriarche, évêque diocésain, archevêque de Narbonne, archevêque catholique",,1452.0
Henri Dauphin,1296-01-01T00:00:00Z,t1619606587,1328-01-01T00:00:00Z,t1619606599,évêque de Metz,1296.0,1328.0
Pierre de Latilly,1250-01-01T00:00:00Z,,1328-01-01T00:00:00Z,,évêque,1250.0,1328.0
Pierre de Longueil,1398-01-01T00:00:00Z,Paris,1474-02-16T00:00:00Z,,évêque,1398.0,1474.0
Robert de Lorris,1350-01-01T00:00:00Z,,1380-01-01T00:00:00Z,,,1350.0,1380.0
Q64762264,,,1473-02-14T00:00:00Z,,"évêque catholique, évêque diocésain",,1473.0
Henri de Marle,1373-01-01T00:00:00Z,,1418-05-29T00:00:00Z,Paris,"Chancelier de France, Premier président du Parlement de Paris",1373.0,1418.0
Philippe de Melun,,,1345-04-07T00:00:00Z,,archevêque de Sens,,1345.0
Robert de Melun,1100-01-01T00:00:00Z,,1167-03-06T00:00:00Z,,"évêque de Hereford, évêque catholique, évêque diocésain",1100.0,1167.0
Jacques de Menthonay,,Menthonnex-en-Bornes,1391-05-16T00:00:00Z,Avignon,,,1391.0
Pierre de Monteruc,1350-01-01T00:00:00Z,Donzenac,1385-05-20T00:00:00Z,Avignon,"cardinal, évêque catholique, Q50212731",1350.0,1385.0
Jean de Montsoreau,,,1285-01-26T00:00:00Z,,archevêque catholique,,1285.0
Philippe De Moulins,1325-01-01T00:00:00Z,Moulins-Engilbert,1409-07-31T00:00:00Z,,évêque,1325.0,1409.0
Jean de Murol,1340-01-01T00:00:00Z,Estaing,1399-02-10T00:00:00Z,Avignon,évêque,1340.0,1399.0
Jean de Norry,,,1438-01-01T00:00:00Z,,archevêque,,1438.0
Nicole Oresme,1322-01-01T00:00:00Z,Fleury-sur-Orne,1382-07-11T00:00:00Z,Lisieux,"évêque catholique, évêque diocésain",1322.0,1382.0
Pierre Plaoul,1353-01-01T00:00:00Z,,1415-04-20T00:00:00Z,,évêque,1353.0,1415.0
Charles de Poitiers,,,1433-09-07T00:00:00Z,Dijon,évêque,,1433.0
Henri de Poitiers,,,1370-08-25T00:00:00Z,Troyes,évêque,,1370.0
Ponce,1150-01-01T00:00:00Z,,,,évêque,1150.0,
Q68909853,,,1496-10-11T00:00:00Z,,"évêque catholique, évêque diocésain",,1496.0
Q68910080,,,1518-11-14T00:00:00Z,,"évêque catholique, évêque diocésain",,1518.0
Q68910083,,,1488-08-19T00:00:00Z,,"évêque catholique, évêque diocésain",,1488.0
Nicolas Roger,1300-01-01T00:00:00Z,,1347-08-17T00:00:00Z,Avignon,archevêque,1300.0,1347.0
Thibaud de Rougemont,,Bourgogne,1429-09-25T00:00:00Z,Rome,"évêque catholique, évêque diocésain, archevêque catholique",,1429.0
Guillaume de Saint-Cloud,1300-01-01T00:00:00Z,,1301-01-01T00:00:00Z,,,1300.0,1301.0
Guillaume de Sainte-Maure,1140-01-01T00:00:00Z,Sainte-Maure-de-Touraine,,Sainte-Maure-de-Touraine,,1140.0,
Raimond de Salg,1300-01-01T00:00:00Z,Alvignac,1375-06-01T00:00:00Z,,"archevêque, évêque catholique",1300.0,1375.0
Raoul de Soissons,1210-01-01T00:00:00Z,,1270-01-01T00:00:00Z,,,1210.0,1270.0
Robert de Sorbon,1201-10-16T00:00:00Z,Sorbon,1274-08-22T00:00:00Z,Paris,,1201.0,1274.0
Jean Tabari,,,1403-01-01T00:00:00Z,Paris,"évêque catholique, évêque diocésain",,1403.0
Guillaume de Thiers,1200-01-01T00:00:00Z,,1203-01-03T00:00:00Z,abbaye de Cluny,,1200.0,1203.0
Mathieu de Trie,1300-01-01T00:00:00Z,,1272-01-01T00:00:00Z,,,1300.0,1272.0
Arnaud de Via,1201-01-01T00:00:00Z,Cahors,1335-11-24T00:00:00Z,Avignon,cardinal,1201.0,1335.0
Philippe de Vitry,1293-11-07T00:00:00Z,Vitry-en-Artois,1361-06-17T00:00:00Z,Meaux,évêque,1293.0,1361.0
Johannes Tapissier,1370-01-01T00:00:00Z,,1410-08-01T00:00:00Z,,,1370.0,1410.0
Jean de Gaucourt,,,1468-06-10T00:00:00Z,,"évêque catholique, évêque diocésain",,1468.0
Jehan de Chelles,1200-01-01T00:00:00Z,Chelles,1265-01-01T00:00:00Z,Paris,,1200.0,1265.0
Jean Ravy,1250-01-01T00:00:00Z,,1345-01-01T00:00:00Z,,,1250.0,1345.0
Guillaume de la Marche,1333-01-01T00:00:00Z,,1420-01-01T00:00:00Z,,,1333.0,1420.0
Pierre de Beauveau,1380-01-01T00:00:00Z,,1435-01-01T00:00:00Z,,,1380.0,1435.0
Jean Daudin,,,1382-01-01T00:00:00Z,,,,1382.0
Louis de Villiers de L'Isle-Adam,1450-01-01T00:00:00Z,,1521-01-01T00:00:00Z,,évêque,1450.0,1521.0
Pierre Bèchebien,1450-01-01T00:00:00Z,Blois,1459-03-14T00:00:00Z,,évêque,1450.0,1459.0
Guillaume de Mello,,Picardie,1171-01-01T00:00:00Z,,,,1171.0
Pierre de Mornay,1150-01-01T00:00:00Z,,1306-05-29T00:00:00Z,,évêque,1150.0,1306.0
Jean de Bourgogne,1415-10-01T00:00:00Z,Clamecy,1491-10-04T00:00:00Z,Nevers,,1415.0,1491.0
Johannes Lupi,1506-01-01T00:00:00Z,Cambrai,1539-12-20T00:00:00Z,,,1506.0,1539.0
Louis de Luxembourg,1391-01-01T00:00:00Z,France,1443-09-18T00:00:00Z,Hartfield,"évêque d'Ely, évêque catholique, évêque diocésain, archevêque catholique",1391.0,1443.0
Jean de Samois,,Sens,1302-01-01T00:00:00Z,,évêque,,1302.0
Robert Gaguin,1433-01-01T00:00:00Z,Calonne-Ricouart,1501-05-22T00:00:00Z,Paris,,1433.0,1501.0
Eustache Marcadé,1301-01-01T00:00:00Z,Artois,1440-01-10T00:00:00Z,Marmoutier,,1301.0,1440.0
Nicolas du Boscq,,Rouen,1408-09-19T00:00:00Z,,évêque,,1408.0
Q12900989,1300-01-01T00:00:00Z,,1368-01-01T00:00:00Z,,,1300.0,1368.0
Évrart de Conty,1350-01-01T00:00:00Z,Conty,1405-01-01T00:00:00Z,Paris,,1350.0,1405.0
Alain Gontier,,,1335-01-01T00:00:00Z,,"évêque catholique, évêque diocésain",,1335.0
Jean Heynlin,1430-01-01T00:00:00Z,Königsbach-Stein,1496-03-12T00:00:00Z,Bâle,,1430.0,1496.0
Aleaume Boistel,,,1383-01-01T00:00:00Z,,archevêque,,1383.0
Pierre Cauchon,1371-01-01T00:00:00Z,Reims,1442-12-27T00:00:00Z,Rouen,"évêque catholique, évêque diocésain",1371.0,1442.0
Nicolas Béhuchet,1250-01-01T00:00:00Z,Le Mans,1340-06-24T00:00:00Z,L'Écluse,,1250.0,1340.0
Jean V de Bueil,1406-01-01T00:00:00Z,,1478-07-07T00:00:00Z,château de Vaujours,Grand chambellan de France,1406.0,1478.0
Louis Malet de Graville,1438-01-01T00:00:00Z,Paris,1516-10-30T00:00:00Z,château de Montagu,,1438.0,1516.0
Hugues Quieret,1290-01-01T00:00:00Z,,1340-07-02T00:00:00Z,Zwin,,1290.0,1340.0
Gautier VI de Brienne,1302-01-01T00:00:00Z,Lecce,1356-09-27T00:00:00Z,Poitiers,connétable de France,1302.0,1356.0
Olivier V de Clisson,1336-05-01T00:00:00Z,château de Clisson,1407-04-23T00:00:00Z,château de Josselin,connétable de France,1336.0,1407.0
Bertrand du Guesclin,1320-01-01T00:00:00Z,Broons,1380-07-21T00:00:00Z,Châteauneuf-de-Randon,connétable de France,1320.0,1380.0
Robert de Fiennes,1308-01-01T00:00:00Z,,1385-01-01T00:00:00Z,,connétable de France,1308.0,1385.0
Charles de La Cerda,1327-01-01T00:00:00Z,,1354-01-08T00:00:00Z,L'Aigle,connétable de France,1327.0,1354.0
Amaury VII de Montfort,1192-01-01T00:00:00Z,Montfort-l'Amaury,1241-01-01T00:00:00Z,Otrante,connétable de France,1192.0,1241.0
Arthur III de Bretagne,1393-09-01T00:00:00Z,château de Suscinio,1459-01-04T00:00:00Z,Nantes,connétable de France,1393.0,1459.0
Louis de Sancerre,1342-01-01T00:00:00Z,Sancerre,1402-02-06T00:00:00Z,Paris,connétable de France,1342.0,1402.0
Geoffroi de Charny,1300-01-01T00:00:00Z,t1706480719,1356-09-27T00:00:00Z,Poitiers,,1300.0,1356.0
Guillaume Flote,1280-01-01T00:00:00Z,,1366-01-01T00:00:00Z,,Chancelier de France,1280.0,1366.0
Pierre de Giac,1380-01-01T00:00:00Z,,1427-02-01T00:00:00Z,,,1380.0,1427.0
Jean Le Mercier,1400-01-01T00:00:00Z,,1397-07-01T00:00:00Z,,,1400.0,1397.0
Richard Olivier de Longueil,1406-12-27T00:00:00Z,Normandie,1470-01-01T00:00:00Z,Sutri,"évêque catholique, évêque diocésain",1406.0,1470.0
Guillaume de Nogaret,1260-01-01T00:00:00Z,Saint-Félix-Lauragais,1313-04-01T00:00:00Z,Paris,juge,1260.0,1313.0
Q64763199,,,1514-09-09T00:00:00Z,,"évêque catholique, évêque diocésain",,1514.0
Guillaume de Vallan,1325-01-01T00:00:00Z,,1400-01-01T00:00:00Z,,,1325.0,1400.0
Hugues Aubriot,1320-01-01T00:00:00Z,hôtel Aubriot,1382-01-01T00:00:00Z,,prévôt de Paris,1320.0,1382.0
Bertrand de Beauvau,1382-01-01T00:00:00Z,,1474-01-01T00:00:00Z,,,1382.0,1474.0
Gilbert de Montpensier,1443-01-01T00:00:00Z,,1496-10-24T00:00:00Z,Pouzzoles,vice-roi du Royaume de Naples,1443.0,1496.0
Antoine de Chabannes,,Auvergne,1535-09-01T00:00:00Z,,évêque,,1535.0
Charles de Valois,1270-03-19T00:00:00Z,Vincennes,1325-12-16T00:00:00Z,Nogent-le-Roi,monarque d'Aragon,1270.0,1325.0
Louis X de France,1289-10-11T00:00:00Z,Paris,1316-06-13T00:00:00Z,Vincennes,"roi, Monarque de Navarre",1289.0,1316.0
Jean de La Baume,1350-01-01T00:00:00Z,t1757612422,1435-01-01T00:00:00Z,t1757612421,"lieutenant-général, maréchal de France",1350.0,1435.0
Jean de Lancastre,1389-06-28T00:00:00Z,Angleterre,1435-09-23T00:00:00Z,Rouen,membre de la Chambre des lords,1389.0,1435.0
Charles de Melun,1500-01-01T00:00:00Z,,1468-08-22T00:00:00Z,Les Andelys,connétable de France,1500.0,1468.0
Guillaume de Poitiers,1309-01-01T00:00:00Z,,1374-09-06T00:00:00Z,,évêque de Langres,1309.0,1374.0
Joachim Rouault,1409-01-01T00:00:00Z,,1478-01-01T00:00:00Z,,,1409.0,1478.0
Robert de Bar,1390-01-01T00:00:00Z,t1627074153,1415-10-25T00:00:00Z,Azincourt,,1390.0,1415.0
Enguerrand VII de Coucy,1339-01-01T00:00:00Z,t1788432605,1397-11-18T00:00:00Z,Bursa,membre de la Chambre des lords,1339.0,1397.0
Jacques de Dinan,,,1444-04-30T00:00:00Z,,Grand bouteiller de France,,1444.0
Miles de Noyers,1271-01-01T00:00:00Z,,1350-09-21T00:00:00Z,,Grand bouteiller de France,1271.0,1350.0
Henri de Sully,1101-01-01T00:00:00Z,Berry,1200-09-01T00:00:00Z,Bourges,archevêque,1101.0,1200.0
Jean de Melun,,,1257-01-01T00:00:00Z,,évêque,,1257.0
Jean de Clermont,1301-01-01T00:00:00Z,Poitiers,1356-09-19T00:00:00Z,Poitiers,,1301.0,1356.0
Jean II Le Meingre,1366-10-06T00:00:00Z,Tours,1421-06-21T00:00:00Z,Yorkshire,,1366.0,1421.0
David de Rambures,1364-01-01T00:00:00Z,,1415-10-25T00:00:00Z,Azincourt,,1364.0,1415.0
Louis Bastet de Crussol,1425-01-01T00:00:00Z,château de Crussol,1473-08-20T00:00:00Z,Villemagne-l'Argentière,"gouverneur, Grand maître de l'artillerie de France, Grand panetier, bailli",1425.0,1473.0
Louis de La Palud,1301-01-01T00:00:00Z,Châtillon-la-Palud,1451-09-21T00:00:00Z,Chamoux-sur-Gelon,"évêque catholique, évêque diocésain, cardinal-prêtre, évêque de Maurienne, évêque d'Avignon, évêque de Lausanne",1301.0,1451.0
Louis de Laval,1411-01-01T00:00:00Z,,1489-08-21T00:00:00Z,Laval,,1411.0,1489.0
Antoine Sanguin de Meudon,1502-01-01T00:00:00Z,France,1559-01-01T00:00:00Z,Paris,"ambassadeur, évêque diocésain, grand aumônier de France, évêque de Limoges",1502.0,1559.0
Jean Billouart,1350-01-01T00:00:00Z,Paris,,,,1350.0,
Jacques Hurault de Cheverny,1480-01-01T00:00:00Z,,1546-06-26T00:00:00Z,Blois,"évêque catholique, évêque diocésain",1480.0,1546.0
Gilles Le Cornu,,,1254-01-01T00:00:00Z,,archevêque de Sens,,1254.0
Guillaume de Joinville,1200-01-01T00:00:00Z,t1720330892,1226-11-06T00:00:00Z,Saint-Flour,archevêque,1200.0,1226.0
Pierre Doriole,1407-01-01T00:00:00Z,,1485-01-01T00:00:00Z,,"Chancelier de France, maire de La Rochelle",1407.0,1485.0
Barthélemy du Drac,1320-01-01T00:00:00Z,,1365-05-20T00:00:00Z,Paris,,1320.0,1365.0
Antoine Raguier,,Champagne,1482-06-10T00:00:00Z,,"évêque catholique, évêque diocésain",,1482.0
Thibault Baillet,1445-01-01T00:00:00Z,,1525-11-19T00:00:00Z,,,1445.0,1525.0
Jean de Ganay,1455-01-01T00:00:00Z,Charolais,1512-05-01T00:00:00Z,Blois,"Chancelier de France, Premier président du Parlement de Paris, premier président",1455.0,1512.0
Q68905165,,,1453-06-03T00:00:00Z,,"évêque catholique, évêque diocésain",,1453.0
Jean de Moulins,1304-01-01T00:00:00Z,France,1353-02-23T00:00:00Z,Avignon,"cardinal, évêque catholique, maître général de l'ordre des Prêcheurs",1304.0,1353.0
Pierre Puy,1450-01-01T00:00:00Z,,,,,1450.0,
Jean de Lescun,,,1473-06-18T00:00:00Z,Dauphiné,,,1473.0
Geoffroi III de Pompadour,1430-05-15T00:00:00Z,Arnac-Pompadour,1514-05-08T00:00:00Z,Paris,"évêque catholique, évêque diocésain, grand aumônier de France",1430.0,1514.0
Henri de Savoisy,,,1422-03-13T00:00:00Z,Yonne,archevêque de Sens,,1422.0
Philippe des Essarts,,,1426-10-23T00:00:00Z,,"évêque catholique, évêque diocésain",,1426.0
Benoît XII,1280-01-01T00:00:00Z,Saverdun,1342-05-03T00:00:00Z,Avignon,"pape, évêque catholique, évêque diocésain",1280.0,1342.0
Jean de Malestroit,1375-01-01T00:00:00Z,Vannes,1443-09-23T00:00:00Z,Nantes,"évêque catholique, évêque diocésain",1375.0,1443.0
Jean II Brinon,,,1555-01-01T00:00:00Z,,,,1555.0
Renault de Chartres,1380-01-01T00:00:00Z,France,1444-04-13T00:00:00Z,Tours,"cardinal, archevêque catholique",1380.0,1444.0
Jacques Coitier,1430-01-01T00:00:00Z,Poligny,1506-10-22T00:00:00Z,Paris,,1430.0,1506.0
Louis de Savoie,1413-02-21T00:00:00Z,Genève,1465-02-07T00:00:00Z,Lyon,"duc de Savoie, Princes de Piémont",1413.0,1465.0
Thomas Bohier,1460-01-01T00:00:00Z,Issoire,1524-04-03T00:00:00Z,duché de Milan,"général des finances, maire de Tours",1460.0,1524.0
Jean du Puy,,Condom,1317-09-01T00:00:00Z,Avignon,archevêque,,1317.0
Hugues de la Roche,1335-01-01T00:00:00Z,,1398-01-01T00:00:00Z,La Roche-Canillac,,1335.0,1398.0
Enguerrand de Marigny,1260-01-01T00:00:00Z,Lyons-la-Forêt,1315-05-16T00:00:00Z,gibet de Montfaucon,Grand chambellan de France,1260.0,1315.0
Guy de Brès,1522-01-01T00:00:00Z,Mons,1567-06-10T00:00:00Z,Valenciennes,,1522.0,1567.0
Jean de La Barre,,,1534-03-01T00:00:00Z,,,,1534.0
Pierre Rodier,,,1330-01-01T00:00:00Z,,évêque,,1330.0
Jean de Conflans,,,1358-02-22T00:00:00Z,,,,1358.0
Jacques Cœur,1395-01-01T00:00:00Z,Bourges,1456-11-25T00:00:00Z,Chios,"ministre de l'Économie, des Finances et de l'Industrie",1395.0,1456.0
Gilles Aycelin de Montaigut,1300-01-01T00:00:00Z,Auvergne,1378-12-05T00:00:00Z,Avignon,évêque,1300.0,1378.0
Martin IV,1220-04-03T00:00:00Z,Touraine,1285-04-11T00:00:00Z,Pérouse,pape,1220.0,1285.0
Arnaud de Corbie,1325-01-01T00:00:00Z,Beauvais,1414-03-24T00:00:00Z,,,1325.0,1414.0
Pierre Flote,1300-01-01T00:00:00Z,Dauphiné,1302-07-19T00:00:00Z,Courtrai,Chancelier de France,1300.0,1302.0
Raoul de Grosparmy,1300-01-01T00:00:00Z,Périers,1270-08-10T00:00:00Z,Tunis,"ambassadeur, cardinal-évêque",1300.0,1270.0
Guillaume Jouvenel des Ursins,1400-03-15T00:00:00Z,Paris,1472-06-23T00:00:00Z,,Chancelier de France,1400.0,1472.0
Jean de Montagu,1350-01-01T00:00:00Z,,1415-10-25T00:00:00Z,bataille d'Azincourt,"chanoine, Chancelier de France, évêque de Chartres, archevêque de Sens",1350.0,1415.0
Guy de Rochefort,1447-01-01T00:00:00Z,Pluvault,1507-01-15T00:00:00Z,,Chancelier de France,1447.0,1507.0
Charles de Savoisy,1368-01-01T00:00:00Z,,1420-01-01T00:00:00Z,,Grand bouteiller de France,1368.0,1420.0
Jean Bohier,1464-01-01T00:00:00Z,Issoire,1512-07-30T00:00:00Z,,"évêque diocésain, évêque de Nevers",1464.0,1512.0
Hugues de Cayeu,,,1438-01-13T00:00:00Z,,évêque,,1438.0
Laurent de Faye,,Touraine,1391-01-01T00:00:00Z,,évêque,,1391.0
Pierre Fresnel,1418-06-12T00:00:00Z,,,Paris,évêque,1418.0,
Jacques de la Marche,1393-09-09T00:00:00Z,Monteprandone,1476-12-07T00:00:00Z,Naples,,1393.0,1476.0
Olivier de Laye,,,1316-01-01T00:00:00Z,,évêque,,1316.0
Ithier de Martreuil,,,1395-01-01T00:00:00Z,,évêque,,1395.0
Raoul de Presles,1316-01-01T00:00:00Z,,1382-11-18T00:00:00Z,,,1316.0,1382.0
Raymond Saquet,,,1358-01-01T00:00:00Z,,archevêque,,1358.0
Guillaume Turpin de Crissé,,,1371-02-08T00:00:00Z,,"évêque catholique, évêque diocésain",,1371.0
Louis de Vaucemain,,Troyes,1357-01-19T00:00:00Z,Paris,évêque de Chartres,,1357.0
Louis de Gruuthuse,1422-01-01T00:00:00Z,Bruges,1492-11-24T00:00:00Z,Bruges,Q66096255,1422.0,1492.0
Raoul le Noir,1140-01-01T00:00:00Z,Bury St Edmunds,,,,1140.0,
Guy de Comborn,,,1349-01-01T00:00:00Z,,évêque,,1349.0
Jean de la Balue,1422-01-01T00:00:00Z,Angles-sur-l'Anglin,1491-10-05T00:00:00Z,Ripatransone,"évêque catholique, évêque diocésain, grand aumônier de France, cardinal-évêque",1422.0,1491.0
Jean de Drosay,1500-01-01T00:00:00Z,,1550-01-01T00:00:00Z,,,1500.0,1550.0
Jean de Vézelay,1042-01-01T00:00:00Z,Bourgogne-Franche-Comté,1119-01-01T00:00:00Z,,Grand maître de l'ordre du Temple,1042.0,1119.0
Jacques de Nouvion,1372-01-01T00:00:00Z,,1411-01-01T00:00:00Z,,,1372.0,1411.0
Pierre de Rieux,1389-09-25T00:00:00Z,Ancenis,1439-01-01T00:00:00Z,Compiègne,maréchal de France,1389.0,1439.0
Q69437989,,,1507-09-12T00:00:00Z,,,,1507.0
Jean L'Espervier,,,1486-01-01T00:00:00Z,,"évêque catholique, évêque diocésain",,1486.0
Jean de La Forest,1500-01-01T00:00:00Z,,1537-01-01T00:00:00Z,Constantinople,"ambassadeur, ambassadeur de France dans l'Empire ottoman",1500.0,1537.0
Jean le Sellier,1470-01-01T00:00:00Z,,1517-01-01T00:00:00Z,,"membre du Parlement du Royaume d'Angleterre, Q60585635",1470.0,1517.0
Jean de Varennes,1250-01-01T00:00:00Z,,,,,1250.0,
Pierre Bonnet,,,1407-01-01T00:00:00Z,,évêque,,1407.0
Thomas Petyt,1494-01-01T00:00:00Z,,1566-01-01T00:00:00Z,,,1494.0,1566.0
Simon de Brassano,1310-01-01T00:00:00Z,Milan,1381-08-27T00:00:00Z,Nice,"cardinal, archevêque catholique",1310.0,1381.0
Jean du Chastel,,,1475-01-01T00:00:00Z,Toulouse,"évêque de Carcassonne et Narbonne, évêque de Nîmes, archevêque de Vienne",,1475.0
Pierre Gauvain,1250-01-01T00:00:00Z,,1335-04-14T00:00:00Z,Avignon,évêque,1250.0,1335.0
Pierre de la Croix,1270-01-01T00:00:00Z,Amiens,,,,1270.0,
Robert Ier de Dreux,1123-01-01T00:00:00Z,,1188-10-18T00:00:00Z,,,1123.0,1188.0
Guillaume de Montreuil,1050-01-01T00:00:00Z,Duché de Normandie,1068-01-01T00:00:00Z,Rome,,1050.0,1068.0
Mathieu Ier de Beaumont-sur-Oise,1100-01-01T00:00:00Z,,1155-01-01T00:00:00Z,,,1100.0,1155.0
Q68864174,,,1515-08-29T00:00:00Z,,"évêque catholique, évêque diocésain",,1515.0
Jacques II de Chabannes de La Palice,1470-01-01T00:00:00Z,Lapalisse,1525-02-24T00:00:00Z,Pavie,gouverneur de Lyon,1470.0,1525.0
Jean de Chabannes,,,1503-01-01T00:00:00Z,,,,1503.0
Pierre de Courtenay,1218-01-01T00:00:00Z,,1201-01-01T00:00:00Z,Égypte,,1218.0,1201.0
Louis d'Harcourt,1424-01-01T00:00:00Z,,1479-01-01T00:00:00Z,Rouen,"évêque catholique, évêque diocésain, archevêque de Narbonne, archevêque catholique",1424.0,1479.0
Olivier de Mauny,1320-01-01T00:00:00Z,,,,,1320.0,
Q1686547,1500-01-01T00:00:00Z,,1563-01-01T00:00:00Z,,,1500.0,1563.0
Jean de Rochechouart,1301-01-01T00:00:00Z,Bourges,1398-01-01T00:00:00Z,Villeneuve-lès-Avignon,"cardinal, archevêque",1301.0,1398.0
Robert de Douai,,Douai,1268-05-20T00:00:00Z,,,,1268.0
Guillaume de Harcigny,1300-01-01T00:00:00Z,Vervins,1393-07-10T00:00:00Z,Laon,,1300.0,1393.0
Q64777314,,,1404-08-28T00:00:00Z,,"évêque catholique, évêque diocésain",,1404.0
Q68905527,,,1500-08-25T00:00:00Z,,"évêque catholique, évêque diocésain",,1500.0
Claude de Louvain,,Soissons,1519-01-01T00:00:00Z,,"évêque catholique, évêque diocésain",,1519.0
Geoffroy de Beaulieu,,,1274-01-01T00:00:00Z,,,,1274.0
Pierre de Treigny,,Yonne,1356-01-01T00:00:00Z,,évêque,,1356.0
Gilles Berthelot,,,1529-01-01T00:00:00Z,Cambrai,"Trésorier de France, maire de Tours",,1529.0
Henri de Beaumont (1er baron Beaumont),1280-01-01T00:00:00Z,,1340-05-10T00:00:00Z,,député écossais,1280.0,1340.0
Jean de Beaujeu,,,1568-01-01T00:00:00Z,Auch,,,1568.0
Jean II des Barres,1250-01-01T00:00:00Z,,1324-01-01T00:00:00Z,La Réole,,1250.0,1324.0
Raoul de Beaumont,0950-01-01T00:00:00Z,,1060-07-29T00:00:00Z,,abbé,950.0,1060.0
Pierre de la Vergne,1350-01-01T00:00:00Z,Limousin,1403-10-06T00:00:00Z,Avignon,"cardinal, évêque catholique",1350.0,1403.0
Jean de Corguilleray,,,1488-01-01T00:00:00Z,,"évêque catholique, évêque diocésain",,1488.0
Jean Le Veneur,1505-01-01T00:00:00Z,Normandie,1543-08-17T00:00:00Z,Picardie,"évêque diocésain, grand aumônier de France",1505.0,1543.0
Robert Willoughby (6e baron Willoughby d'Eresby),1380-01-01T00:00:00Z,,1452-07-25T00:00:00Z,,membre de la Chambre des lords,1380.0,1452.0
Jean Ier de Courtenay-Champignelles,1226-01-01T00:00:00Z,,1270-08-20T00:00:00Z,Tunis,"évêque, archevêque",1226.0,1270.0
